point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_상주2,3.3 ,3.5 ,2.9 ,3.1 ,3.8 ,4.1 ,4.3 ,4.7 ,4.6 ,4.6 ,5.1 ,5.7 ,5.2 ,5.8 ,5.0 
b_상주3,3.3 ,3.7 ,3.1 ,3.1 ,3.4 ,4.5 ,4.5 ,4.5 ,4.7 ,5.0 ,5.1 ,5.6 ,5.4 ,5.6 ,5.1 
c_산곡,3.4 ,3.6 ,3.1 ,3.3 ,3.9 ,4.4 ,4.7 ,5.2 ,4.8 ,4.9 ,5.5 ,6.1 ,5.8 ,6.1 ,5.9 
d_강정,3.3 ,3.4 ,3.3 ,3.4 ,3.9 ,4.3 ,4.5 ,5.1 ,4.8 ,4.8 ,5.4 ,6.0 ,5.7 ,6.0 ,5.6 
e_구미,4.6 ,4.8 ,3.8 ,4.2 ,5.1 ,5.2 ,5.2 ,5.1 ,5.4 ,6.3 ,6.3 ,6.4 ,5.7 ,6.4 ,5.8 
f_왜관,4.1 ,4.3 ,4.1 ,4.6 ,5.5 ,5.3 ,5.6 ,5.5 ,5.3 ,6.0 ,6.0 ,6.4 ,5.9 ,6.4 ,5.7 
g_성주,4.7 ,4.7 ,4.7 ,5.5 ,5.2 ,5.4 ,5.4 ,5.7 ,5.6 ,6.2 ,6.1 ,6.9 ,6.0 ,6.7 ,6.4 
h_달성,4.9 ,4.9 ,4.8 ,5.5 ,6.1 ,5.3 ,5.5 ,5.9 ,5.5 ,6.2 ,6.3 ,6.8 ,6.0 ,6.7 ,6.3 
i_화원나루,7.2 ,7.0 ,6.9 ,7.3 ,7.0 ,6.9 ,6.8 ,6.4 ,5.9 ,6.8 ,7.6 ,7.4 ,6.6 ,7.0 ,6.7 
j_고령,6.4 ,6.4 ,6.0 ,7.0 ,8.1 ,6.6 ,6.5 ,6.7 ,6.2 ,6.8 ,7.7 ,7.9 ,7.0 ,7.3 ,7.3 
k_현풍,6.3 ,6.4 ,6.1 ,6.9 ,7.9 ,6.7 ,6.8 ,6.8 ,6.2 ,6.6 ,7.5 ,7.5 ,6.8 ,7.2 ,6.9 
l_창녕,6.6 ,6.3 ,6.2 ,6.0 ,6.7 ,6.0 ,6.7 ,6.4 ,5.4 ,5.3 ,6.1 ,7.2 ,7.0 ,8.7 ,7.5 
m_합천,6.3 ,5.7 ,5.8 ,5.8 ,6.0 ,5.6 ,6.4 ,6.0 ,5.3 ,5.1 ,5.7 ,7.0 ,6.1 ,6.9 ,6.1 
n_남지,6.5 ,6.1 ,5.8 ,5.8 ,6.7 ,5.5 ,5.6 ,5.8 ,5.1 ,5.0 ,5.7 ,6.6 ,6.9 ,7.9 ,7.3 
