point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_상주2,2.184 ,2.371 ,2.446 ,2.227 ,2.103 ,2.226 ,2.377 ,2.232 ,2.280 ,2.387 ,1.744 ,2.522 ,2.238 ,2.641 ,2.158 
b_위천,2.576 ,2.652 ,3.006 ,2.556 ,1.832 ,2.530 ,2.522 ,2.465 ,2.466 ,2.475 ,2.304 ,2.758 ,1.806 ,3.064 ,2.587 
c_상주3,2.143 ,2.383 ,2.536 ,2.088 ,2.075 ,2.313 ,2.440 ,2.241 ,2.325 ,2.435 ,1.750 ,2.442 ,2.114 ,2.589 ,2.151 
d_산곡,2.025 ,2.338 ,2.426 ,2.186 ,2.067 ,2.222 ,2.483 ,2.043 ,2.061 ,2.320 ,1.670 ,2.374 ,2.004 ,2.494 ,2.187 
e_감천,4.048 ,4.149 ,3.837 ,3.748 ,3.324 ,3.846 ,3.739 ,3.813 ,3.481 ,3.537 ,3.160 ,3.289 ,3.250 ,3.507 ,3.115 
f_강정,2.201 ,2.427 ,2.489 ,2.253 ,2.178 ,2.330 ,2.464 ,2.371 ,2.215 ,2.494 ,1.820 ,2.521 ,2.189 ,2.676 ,2.044 
g_구미,2.896 ,3.276 ,2.750 ,2.531 ,2.857 ,2.690 ,2.811 ,2.693 ,2.605 ,2.867 ,2.268 ,2.799 ,2.463 ,2.819 ,2.369 
h_왜관,2.708 ,2.823 ,2.717 ,2.665 ,2.554 ,2.834 ,2.802 ,2.519 ,2.547 ,2.806 ,2.249 ,2.720 ,2.476 ,2.854 ,2.339 
i_성주,2.622 ,2.745 ,2.604 ,2.708 ,2.442 ,2.740 ,2.829 ,2.449 ,2.382 ,2.747 ,2.085 ,2.498 ,2.216 ,2.701 ,2.387 
j_달성,2.479 ,2.628 ,2.612 ,2.493 ,2.343 ,2.609 ,2.778 ,2.429 ,2.267 ,2.625 ,2.036 ,2.408 ,2.191 ,2.626 ,2.351 
k_금호강,6.017 ,6.331 ,7.178 ,6.273 ,7.121 ,6.209 ,6.213 ,6.304 ,6.433 ,6.454 ,5.476 ,5.338 ,5.474 ,5.428 ,4.828 
l_화원나루,3.923 ,4.296 ,4.316 ,3.973 ,4.036 ,4.168 ,3.915 ,3.137 ,2.952 ,3.979 ,3.100 ,3.687 ,3.184 ,3.493 ,3.071 
m_고령,3.564 ,3.731 ,3.860 ,3.897 ,3.971 ,3.803 ,3.815 ,3.533 ,3.239 ,3.662 ,3.305 ,3.433 ,3.044 ,3.368 ,3.177 
n_현풍,3.544 ,3.685 ,3.716 ,4.021 ,3.859 ,3.670 ,3.496 ,3.462 ,3.228 ,3.661 ,3.286 ,3.370 ,3.271 ,3.493 ,3.081 
o_회천,1.805 ,2.187 ,2.095 ,2.051 ,1.970 ,1.982 ,1.965 ,1.854 ,1.849 ,1.745 ,1.849 ,2.059 ,1.724 ,2.119 ,2.019 
p_창녕,3.256 ,3.347 ,3.153 ,3.199 ,3.703 ,3.517 ,3.496 ,3.208 ,2.924 ,3.121 ,2.823 ,3.086 ,2.893 ,3.047 ,2.828 
q_황강,1.371 ,1.499 ,1.672 ,1.378 ,1.366 ,1.427 ,1.420 ,1.627 ,1.503 ,1.449 ,1.619 ,1.620 ,1.490 ,1.518 ,1.455 
r_합천,2.892 ,2.857 ,2.954 ,2.947 ,3.324 ,3.139 ,3.103 ,2.979 ,2.890 ,3.111 ,2.857 ,3.033 ,2.929 ,3.143 ,2.893 
s_남강,2.185 ,2.820 ,2.525 ,2.377 ,3.387 ,2.466 ,2.184 ,2.571 ,2.227 ,1.750 ,1.690 ,2.204 ,2.070 ,2.301 ,1.856 
t_남지,2.630 ,2.910 ,2.751 ,2.713 ,2.786 ,2.792 ,2.768 ,2.665 ,2.486 ,2.514 ,2.212 ,2.456 ,2.473 ,2.562 ,2.431 
