point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_상주2,2.629 ,2.510 ,2.508 ,2.316 ,2.246 ,2.320 ,2.538 ,2.384 ,2.384 ,2.509 ,1.888 ,2.673 ,2.433 ,2.839 ,2.277 
b_위천,3.062 ,2.853 ,3.110 ,2.709 ,1.889 ,2.606 ,2.651 ,2.636 ,2.530 ,2.815 ,2.369 ,2.794 ,1.907 ,3.164 ,2.668 
c_상주3,2.575 ,2.500 ,2.581 ,2.205 ,2.213 ,2.468 ,2.555 ,2.438 ,2.516 ,2.613 ,1.894 ,2.607 ,2.353 ,2.763 ,2.293 
d_산곡,2.447 ,2.469 ,2.486 ,2.275 ,2.148 ,2.366 ,2.570 ,2.345 ,2.185 ,2.414 ,1.811 ,2.442 ,2.062 ,2.584 ,2.250 
e_감천,4.914 ,4.437 ,3.902 ,3.854 ,3.417 ,3.955 ,3.902 ,3.897 ,3.586 ,3.660 ,3.279 ,3.366 ,3.341 ,3.639 ,3.218 
f_강정,2.681 ,2.548 ,2.546 ,2.344 ,2.282 ,2.422 ,2.602 ,2.536 ,2.330 ,2.565 ,1.939 ,2.614 ,2.324 ,2.768 ,2.169 
g_구미,3.562 ,3.510 ,2.813 ,2.708 ,2.859 ,2.838 ,2.967 ,2.917 ,2.924 ,3.163 ,2.511 ,2.923 ,2.695 ,3.031 ,2.544 
h_왜관,3.343 ,3.050 ,2.833 ,2.759 ,2.722 ,2.945 ,2.957 ,2.772 ,2.659 ,2.924 ,2.367 ,2.835 ,2.625 ,2.976 ,2.448 
i_성주,3.255 ,2.954 ,2.758 ,2.811 ,2.600 ,2.889 ,3.011 ,2.709 ,2.482 ,2.880 ,2.252 ,2.592 ,2.308 ,2.814 ,2.499 
j_달성,2.934 ,2.836 ,2.825 ,2.629 ,2.531 ,2.730 ,2.944 ,2.637 ,2.370 ,2.748 ,2.207 ,2.503 ,2.278 ,2.723 ,2.469 
k_금호강,7.400 ,6.760 ,7.442 ,6.666 ,7.527 ,6.563 ,6.521 ,6.763 ,7.065 ,6.872 ,5.874 ,5.712 ,5.983 ,5.747 ,5.086 
l_화원나루,4.944 ,4.637 ,4.565 ,4.162 ,4.323 ,4.294 ,4.150 ,3.241 ,3.073 ,4.077 ,3.363 ,3.856 ,3.430 ,3.702 ,3.225 
m_고령,4.334 ,4.009 ,4.081 ,4.069 ,4.176 ,3.971 ,4.041 ,3.770 ,3.383 ,3.803 ,3.441 ,3.548 ,3.159 ,3.495 ,3.314 
n_현풍,4.399 ,4.029 ,4.059 ,4.188 ,4.062 ,3.866 ,3.795 ,3.714 ,3.343 ,3.802 ,3.442 ,3.516 ,3.431 ,3.661 ,3.220 
o_회천,2.177 ,2.355 ,2.213 ,2.154 ,2.050 ,2.063 ,2.064 ,1.944 ,1.933 ,1.862 ,1.903 ,2.106 ,1.776 ,2.176 ,2.070 
p_창녕,3.715 ,3.808 ,3.529 ,3.572 ,4.083 ,3.717 ,3.770 ,3.506 ,3.111 ,3.326 ,2.989 ,3.253 ,3.059 ,3.303 ,3.047 
q_황강,1.548 ,1.568 ,1.873 ,1.609 ,1.455 ,1.468 ,1.500 ,1.741 ,1.680 ,1.610 ,1.771 ,1.708 ,1.546 ,1.683 ,1.626 
r_합천,3.354 ,3.319 ,3.292 ,3.238 ,3.678 ,3.357 ,3.258 ,3.205 ,3.039 ,3.270 ,2.999 ,3.229 ,3.126 ,3.356 ,3.064 
s_남강,2.487 ,3.307 ,2.867 ,2.830 ,3.798 ,2.740 ,2.465 ,2.792 ,2.342 ,1.922 ,1.948 ,2.375 ,2.233 ,2.509 ,2.228 
t_남지,3.069 ,3.331 ,3.167 ,3.053 ,3.331 ,3.400 ,3.218 ,2.982 ,2.627 ,2.648 ,2.354 ,2.620 ,2.634 ,2.764 ,2.670 
