point,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
a_상주2,0.050 ,0.057 ,0.049 ,0.021 ,0.035 ,0.041 ,0.040 ,0.035 ,0.043 ,0.031 ,0.021 ,0.032 ,0.033 ,0.041 ,0.030 
b_위천,0.036 ,0.046 ,0.038 ,0.026 ,0.024 ,0.027 ,0.025 ,0.029 ,0.021 ,0.019 ,0.026 ,0.035 ,0.019 ,0.038 ,0.019 
c_상주3,0.047 ,0.050 ,0.051 ,0.040 ,0.042 ,0.067 ,0.070 ,0.044 ,0.043 ,0.036 ,0.026 ,0.030 ,0.027 ,0.031 ,0.030 
d_산곡,0.055 ,0.054 ,0.054 ,0.026 ,0.031 ,0.047 ,0.054 ,0.032 ,0.032 ,0.027 ,0.018 ,0.028 ,0.027 ,0.033 ,0.023 
e_감천,0.181 ,0.174 ,0.172 ,0.145 ,0.126 ,0.142 ,0.067 ,0.066 ,0.282 ,0.058 ,0.041 ,0.069 ,0.034 ,0.059 ,0.047 
f_강정,0.052 ,0.058 ,0.058 ,0.028 ,0.029 ,0.053 ,0.057 ,0.034 ,0.053 ,0.034 ,0.019 ,0.036 ,0.033 ,0.040 ,0.035 
g_구미,0.124 ,0.143 ,0.090 ,0.111 ,0.146 ,0.127 ,0.132 ,0.081 ,0.055 ,0.061 ,0.037 ,0.037 ,0.034 ,0.038 ,0.037 
h_왜관,0.108 ,0.105 ,0.079 ,0.087 ,0.112 ,0.107 ,0.098 ,0.058 ,0.048 ,0.044 ,0.029 ,0.038 ,0.035 ,0.043 ,0.033 
i_성주,0.077 ,0.093 ,0.081 ,0.063 ,0.098 ,0.115 ,0.080 ,0.054 ,0.047 ,0.045 ,0.026 ,0.030 ,0.030 ,0.039 ,0.032 
j_달성,0.075 ,0.088 ,0.060 ,0.059 ,0.096 ,0.104 ,0.072 ,0.052 ,0.045 ,0.044 ,0.028 ,0.034 ,0.030 ,0.040 ,0.038 
k_금호강,0.472 ,0.430 ,0.673 ,0.653 ,0.667 ,0.465 ,0.420 ,0.268 ,0.125 ,0.113 ,0.100 ,0.086 ,0.071 ,0.060 ,0.069 
l_화원나루,0.304 ,0.283 ,0.286 ,0.217 ,0.402 ,0.219 ,0.194 ,0.085 ,0.051 ,0.051 ,0.043 ,0.058 ,0.039 ,0.046 ,0.046 
m_고령,0.191 ,0.188 ,0.211 ,0.231 ,0.240 ,0.171 ,0.158 ,0.096 ,0.059 ,0.051 ,0.044 ,0.054 ,0.037 ,0.042 ,0.045 
n_현풍,0.194 ,0.185 ,0.215 ,0.217 ,0.233 ,0.155 ,0.139 ,0.096 ,0.055 ,0.052 ,0.042 ,0.054 ,0.040 ,0.056 ,0.050 
o_회천,0.051 ,0.058 ,0.042 ,0.031 ,0.038 ,0.033 ,0.037 ,0.027 ,0.032 ,0.029 ,0.025 ,0.033 ,0.019 ,0.019 ,0.060 
p_창녕,0.205 ,0.189 ,0.189 ,0.228 ,0.252 ,0.195 ,0.198 ,0.113 ,0.058 ,0.054 ,0.044 ,0.052 ,0.041 ,0.068 ,0.051 
q_황강,0.051 ,0.042 ,0.046 ,0.090 ,0.025 ,0.038 ,0.047 ,0.030 ,0.029 ,0.045 ,0.049 ,0.037 ,0.019 ,0.025 ,0.024 
r_합천,0.175 ,0.161 ,0.176 ,0.196 ,0.235 ,0.157 ,0.171 ,0.111 ,0.060 ,0.052 ,0.041 ,0.044 ,0.031 ,0.042 ,0.043 
s_남강,0.116 ,0.156 ,0.138 ,0.127 ,0.157 ,0.084 ,0.073 ,0.083 ,0.046 ,0.052 ,0.057 ,0.054 ,0.044 ,0.058 ,0.044 
t_남지,0.154 ,0.162 ,0.169 ,0.179 ,0.197 ,0.156 ,0.192 ,0.098 ,0.059 ,0.051 ,0.040 ,0.049 ,0.038 ,0.056 ,0.054 
