지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조 시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
156,2016-01-01,3.2,-1.5,603,8.1,1458,,,,,,,4.2,230,1623,2.7,230,1632,1,853,-1.4,50,1402,73.1,5.5,1022.9,1035.3,1044,1029.5,2209,1032.1,9.8,6.5,1300,1.69,9.2,,,,,,5.1,3.4,2,-6.6,,,,,,,,,,,,,
156,2016-01-02,6.5,1.3,707,12.7,1604,,,,,,,2.4,200,1605,1.5,90,47,.6,476,2.8,57,1314,78.6,7.6,1015.2,1029.5,1,1021.5,2232,1024.2,9.8,3.2,1000,1.31,7.59,,,,,,4.8,3.6,3.4,-4.1,,,,,,,,,,,,,
156,2016-01-03,7.3,3.7,757,13.7,1553,,,,,,,4.1,270,1508,2.2,250,1440,.8,706,3.4,47,1736,78.9,7.9,1011.5,1021.9,922,1018.8,1425,1020.4,9.9,5.3,1300,1.71,8.15,,,,,,4,2.8,4.2,-2.1,,,,,,,,,,,,,
156,2016-01-04,6.4,2.3,2338,11.4,1423,,,,,,,5.7,320,1433,3.5,50,2323,1.3,1148,0,34,1508,66.5,6.3,1014.3,1025.9,2257,1020.8,1,1023.3,9.9,7.8,1300,1.66,9.61,,,,,,3.1,2.4,3.9,-2,,,,,,,,,,,,,
156,2016-01-05,2.4,-.7,2313,5.8,1515,,,,,,,6.4,70,1600,4,70,1607,2.4,2035,-10,23,1543,40.3,2.9,1017.4,1028,2324,1024.8,1452,1026.5,9.9,1.6,1200,1.35,5.45,,,,,,6.3,4.8,1.4,-4.4,,,,,,,,,,,,,
156,2016-01-06,3.3,-1,204,7.5,1428,,,,,,,8.7,20,1632,4,20,1639,2.3,2001,-5.2,30,114,54.1,4.3,1016.4,1027.5,1,1023,1517,1025.4,9.9,7.7,1100,1.72,9.84,,,,,,5.3,2.9,1.3,-5.1,,,,,,,,,,,,,
156,2016-01-07,2.7,1.2,2354,5.2,1231,,,,,,,7.3,50,750,4,20,758,1.4,1223,-3.6,51,1332,63.4,4.7,1015.6,1026.5,1039,1023.7,1443,1024.7,9.9,2.8,1100,1.37,7.38,,,,,,7.9,7.9,2.3,-1.8,,,,,,,,,,,,,
156,2016-01-08,1.2,-.2,341,4.8,1503,9.68,,,,,.3,5.6,360,1602,2.2,340,1615,.8,715,-1.8,57,1508,81,5.4,1014.8,1025.5,2322,1022.4,1416,1023.9,9.9,1.7,1300,1.25,5.92,.5,854,.5,854,.5,7.1,7.1,1.7,-4,,,,,,,,,,,,,
156,2016-01-09,2.5,-.3,743,7.7,1433,,,,,,,7.6,270,1407,4.4,270,1400,1.2,1050,-3.6,40,1341,65,4.7,1016.9,1027.7,1022,1025,216,1026,9.9,6.4,1300,1.86,9.56,,,,,,4.9,4.9,1.8,-3.8,,,,,,,,,,,,,
156,2016-01-10,3.7,-.1,756,8.5,1520,,,,,,,6.7,50,2247,3.6,50,2232,1.3,1156,-3.8,37,1436,59.4,4.6,1017.4,1028.1,947,1024.5,1444,1026.5,10,8.2,1200,1.83,10.95,,,,,,4.1,1.3,2.2,-4.5,,,,,,,,,,,,,
156,2016-01-11,1.5,-.9,2334,5.3,1402,,,,,,,8.1,50,311,4.8,50,320,2.3,2000,-8.2,40,308,48.8,3.3,1017,1028.1,1021,1024.1,1433,1026.2,10,7.7,1100,1.88,10.82,,,,,,4.3,1.3,.8,-4.3,,,,,,,,,,,,,
156,2016-01-12,-.3,-4.2,744,4.1,1403,2.53,,,,,0,8.4,340,1453,3.9,20,1159,1.8,1523,-8.9,30,1245,53.6,3.2,1015.2,1026.8,948,1022.3,1451,1024.4,10,7.8,1200,2,11.38,,,,,,4.6,4.3,-.2,-8.2,,,,,,,,,,,,,
156,2016-01-13,1,-1.3,146,4.5,1430,12.02,,,,,2.1,11.6,250,1426,6.7,270,1426,2,1732,-4.1,40,1421,70.8,4.6,1012.6,1023.1,6,1019.7,1418,1021.7,10,4.8,1100,1.87,9.51,2.9,834,2.9,834,2.9,7.6,7.6,1.4,-3.1,,,,,,,,,,,,,
156,2016-01-14,1.4,-.6,2347,5.8,1504,10.98,,,,,.6,7.4,270,1438,3.2,270,1440,1,904,-3.1,43,1507,74.4,5,1013.4,1023.9,1031,1021.4,1611,1022.6,10,5.7,1400,1.6,8.76,1.4,957,1.4,957,1.4,5.8,5.8,1.5,-4.6,,,,,,,,,,,,,
156,2016-01-15,2.6,-2.2,553,8.4,1335,,,,,,,5.4,250,1608,3.1,270,1540,.8,668,-4.1,37,1346,63.5,4.5,1012.5,1022.9,1,1019.8,1451,1021.5,10,6.2,1200,1.81,9.6,,,,,,4.9,4.9,.8,-5.3,,,,,,,,,,,,,
156,2016-01-16,4.6,.6,812,10,1523,,,,,,,4.1,50,1935,3,70,1951,.9,816,-3.2,31,1433,59.5,4.9,1013.2,1024.2,949,1020.7,1449,1022.1,10.1,8,1200,1.8,10.65,,,,,,4.9,3.4,1.8,-3.7,,,,,,,,,,,,,
156,2016-01-17,3.7,2.4,607,6.6,1259,8.4,,,,,6,6.6,50,1226,3.9,70,1138,1.9,1651,-.4,49,1212,76.5,6.1,1007.1,1021.5,225,1012.6,2348,1016.1,10.1,0,1100,.46,2.64,,,,,,8.5,3.5,1.7,-1,,,,,,,,,,,,,
156,2016-01-18,-.8,-4.4,2341,3.2,524,17.25,,,,,4.1,10.9,340,1518,4.6,320,1427,1.9,1681,-3.1,59,1532,84.9,5,1006.7,1019.9,2347,1011.9,303,1015.8,10.1,1.6,1200,.98,5.51,7.1,2354,7.1,2354,7.1,7.9,7.4,0,-5,,,,,,,,,,,,,
156,2016-01-19,-4.5,-5.8,550,-2,1558,19.73,,,,,4.3,10.7,290,1341,4.6,290,1333,1.9,1677,-7.6,43,1603,79.5,3.5,1014.2,1027.9,2314,1019.9,24,1023.6,10.1,2.9,1300,.36,2.28,12.5,2149,15,2149,13.7,7.1,7.1,-.8,-1.9,,,,,,,,,,,,,
156,2016-01-20,-4.5,-6.8,811,-.8,1336,4.62,,,,,0,8.5,50,1240,4,50,1507,2.1,1840,-10.4,48,1435,64.1,2.8,1020.9,1032.6,1028,1027.8,1,1030.3,10.2,6.4,1200,1.13,6.14,,,15,1,,5.1,4.1,-.8,-3.4,,,,,,,,,,,,,
156,2016-01-21,-3,-5.3,1,.8,1429,,,,,,,9.9,50,1618,4.6,50,1344,2.6,2215,-9.7,50,1357,59.8,2.9,1019.3,1030.6,21,1026,1434,1028.6,10.2,2,1300,1.58,8.05,,,6.3,1,,7.3,6.5,-.8,-5.9,,,,,,,,,,,,,
156,2016-01-22,-2.8,-6.5,548,1.1,1301,,,,,,,10.2,50,1132,5.9,50,1138,3.1,2707,-13.6,23,1513,44.6,2.1,1021.7,1033.2,2358,1029.8,53,1031.1,10.2,7.1,1200,2.05,11.9,,,4.5,1,,5.1,.5,-1.5,-6.9,,,,,,,,,,,,,
156,2016-01-23,-5.8,-8.4,2350,-3.2,1,9.27,,,,,4.2,10.4,50,830,5.7,20,843,2.6,2280,-12.5,32,33,60.8,2.4,1020.4,1033.3,14,1028,2351,1029.8,10.2,5.2,1100,1.74,9.88,9.6,2329,12.7,2329,9.6,7.5,5.1,-1.6,-5.9,,,,,,,,,,,,,
156,2016-01-24,-9.5,-11.7,821,-7.7,312,20.53,,,,,6.5,8.7,290,209,4.8,270,217,1.3,1097,-12.8,45,209,77.6,2.3,1017,1030.2,2207,1023.6,623,1026.6,10.3,0,1300,.2,1.35,13.5,2357,22.9,2357,14.5,7.8,7.8,-1.5,-2.6,,,,,,,,,,,,,
156,2016-01-25,-5.5,-11.2,810,-1.5,1556,4.33,,,,,.2,4.3,250,1408,2.5,230,1411,.6,532,-8.8,60,1338,77.6,3.2,1020.3,1031,1020,1028.8,434,1029.8,10.3,6.3,1200,.83,4.18,3.1,357,25.7,357,3.1,4.8,4.8,-1.2,-1.9,,,,,,,,,,,,,
156,2016-01-26,-.2,-3.8,233,4,1452,1.78,,,,,0,4.5,290,1354,1.8,250,1301,.8,670,-4.4,46,1412,74.8,4.5,1019.8,1030.3,1,1027.6,1515,1029,10.3,4.8,1200,2.16,11.01,,,12.9,1,,6.1,6.1,-.9,-1.3,,,,,,,,,,,,,
156,2016-01-27,2,-1.4,737,6.7,1449,,,,,,,3.3,180,1325,1.8,200,1332,.7,598,-2.2,45,1333,75.9,5.2,1021.2,1032.1,1121,1029.1,132,1030.4,10.3,8.7,1200,1.95,12.4,,,9.9,1,,4.4,2.9,-.8,-2.6,,,,,,,,,,,,,
156,2016-01-28,2.6,.4,1,4.8,1254,11.22,,,,,11.5,9,50,2212,5.8,50,2219,1.9,1653,.7,63,1155,87.6,6.5,1017.6,1030.8,1,1023.5,2326,1026.7,10.4,0,1100,.43,2.78,,,7.1,1,,10,6.3,-.9,-2.1,,,,,,,,,,,,,
156,2016-01-29,3.9,3,531,5.1,1216,20.68,,,,,9.9,8.8,50,59,4.8,50,239,1.7,1489,3.5,95,2148,97.5,7.8,1013.3,1023.7,2,1020.5,1519,1022.3,10.4,0,1100,.43,2.93,,,4.8,1,,9.8,7.4,.8,-.9,,,,,,,,,,,,,
156,2016-01-30,3.7,.5,2339,9.8,1421,,,,,,,5.3,290,1514,2.5,250,1245,1.1,943,.6,56,1456,81.9,6.4,1016.7,1028.9,2352,1023,11,1025.7,10.4,6,1200,2.16,12.09,,,,,,4.3,3,2.7,-3.9,,,,,,,,,,,,,
156,2016-01-31,-.2,-1.9,2348,2.2,1425,,,,,,,7,290,1150,3.1,20,1407,1.5,1312,-6.3,52,2000,63.9,3.9,1020.6,1031.1,914,1027.7,1430,1029.9,10.4,2.7,1000,1.33,7.32,,,,,,4.6,4.4,-.7,-5.4,,,,,,,,,,,,,
156,2016-02-01,-2.2,-4,2354,.7,1126,,,,,,,9.4,50,2115,4.5,20,1817,2.6,2214,-9.2,46,1129,58.9,3.1,1020.7,1031.5,836,1028.3,1824,1030,10.5,4.2,1000,1.67,9.11,,,,,,4.8,4,-2.4,-7.1,,,,,,,,,,,,,
156,2016-02-02,-2.1,-5.7,617,2.3,1212,,,,,,,7.5,290,1249,4.2,70,951,2.2,1890,-10.7,36,1419,52.6,2.7,1019.5,1030.7,5,1026.7,1401,1028.8,10.5,9.7,1200,2.31,14.76,,,,,,0,0,-2.5,-8.6,,,,,,,,,,,,,
