지점,일시,평균기온(°C),최저기온(°C),최저기온 시각(hhmi),최고기온(°C),최고기온 시각(hhmi),강수 계속시간(hr),10분 최다 강수량(mm),10분 최다강수량 시각(hhmi),1시간 최다강수량(mm),1시간 최다 강수량 시각(hhmi),일강수량(mm),최대 순간 풍속(m/s),최대 순간 풍속 풍향(16방위),최대 순간풍속 시각(hhmi),최대 풍속(m/s),최대 풍속 풍향(16방위),최대 풍속 시각(hhmi),평균 풍속(m/s),풍정합(100m),평균 이슬점온도(°C),최소 상대습도(%),최소 상대습도 시각(hhmi),평균 상대습도(%),평균 증기압(hPa),평균 현지기압(hPa),최고 해면기압(hPa),최고 해면기압 시각(hhmi),최저 해면기압(hPa),최저 해면기압 시각(hhmi),평균 해면기압(hPa),가조시간(hr),합계 일조시간(hr),1시간 최다일사 시각(hhmi),1시간 최다일사량(MJ/m2),합계 일사량(MJ/m2),일 최심신적설(cm),일 최심신적설 시각(hhmi),일 최심적설(cm),일 최심적설 시각(hhmi),합계 3시간 신적설(cm),평균 전운량(1/10),평균 중하층운량(1/10),평균 지면온도(°C),최저 초상온도(°C),평균 5cm 지중온도(°C),평균 10cm 지중온도(°C),평균 20cm 지중온도(°C),평균 30cm 지중온도(°C),0.5m 지중온도(°C),1.0m 지중온도(°C),1.5m 지중온도(°C),3.0m 지중온도(°C),5.0m 지중온도(°C),합계 대형증발량(mm),합계 소형증발량(mm),9-9강수(mm),안개 계속시간(hr)
156,2022-01-01,-.1,-5.2,659,5.4,1405,,,,,,,6.6,70,351,3.5,70,337,1.4,1187,-13.2,15,1329,39.4,2.3,1021.1,1033.9,1010,1027.7,1628,1030.1,9.8,8,1200,2.18,11.91,,,,,,5.4,3.1,.4,-8.9,,,,,,,,,,1.5,2.1,,
156,2022-01-02,.7,-3.8,623,6.5,1500,,,,,,,5.5,50,1558,2.9,50,1607,.7,563,-4.8,45,1231,67.1,4.4,1018.7,1028.6,951,1026.3,1437,1027.6,9.9,4,1200,1.36,7.43,,,,,,2.6,2.6,1.2,-8.1,,,,,,,,,,.8,1.2,,
156,2022-01-03,.4,-4.5,740,6.8,1514,,,,,,,4.7,290,1407,2.1,50,1813,.8,661,-4.8,36,1407,70,4.3,1017.9,1028.8,1014,1024.4,1458,1026.8,9.9,8.9,1200,2.11,13.18,,,,,,.3,0,.3,-9.6,,,,,,,,,,1.4,2,,
156,2022-01-04,2,-1,47,7.2,1416,,,,,,,6.7,290,1318,3.5,50,1236,1.1,949,-7.4,15,1602,54.8,3.7,1018.7,1029,2346,1026.1,21,1027.6,9.9,8.5,1200,2.11,12.34,,,,,,4.3,4.1,2,-5.9,,,,,,,,,,1.9,2.8,,
156,2022-01-05,2.2,-.9,307,4.7,1440,,,,,,,5.3,70,209,3.2,70,227,1,854,-11.1,25,1120,37.1,2.7,1017.5,1028.5,1,1024.1,1430,1026.4,9.9,0,1100,1.02,4.53,,,,,,9.3,6,1.8,-3.6,,,,,,,,,,,,,
156,2022-01-06,2.4,-.7,2331,6.9,1404,,,,,,,6,320,1449,2.9,50,1244,1.2,1076,-9.4,17,1249,44.4,3.1,1019.5,1030.4,2048,1025.5,17,1028.3,9.9,9.2,1200,2.14,12.98,,,,,,.6,.6,2.4,-7.1,,,,,,,,,,1.8,2.6,,
156,2022-01-07,.9,-4.3,656,8.4,1457,,,,,,,3.7,320,1753,2,250,1425,.7,631,-7.9,17,1602,56.3,3.4,1020.7,1031.7,1001,1027.7,1601,1029.6,9.9,9,1200,2.18,13.38,,,,,,0,0,.7,-9.1,,,,,,,,,,1.7,2.5,,
156,2022-01-08,1.7,-4.6,736,8.2,1458,,,,,,,4.2,250,1402,1.9,250,1356,.6,509,-5.1,40,1410,62,4.3,1016.6,1028.5,1,1023.2,1450,1025.5,9.9,9.1,1200,2.1,12.69,,,,,,2.5,1.9,.5,-8.9,,,,,,,,,,1.4,2,,
156,2022-01-09,3.3,.4,731,9.2,1439,,,,,,,5.7,70,1508,2.2,320,1443,.7,592,-1.1,52,1412,74.3,5.7,1013.8,1023.9,2,1020.7,1437,1022.6,10,5.1,1200,1.77,9.5,,,,,,5.8,5.8,2.9,-5.4,,,,,,,,,,1.2,1.7,,
156,2022-01-10,2.8,-2.2,749,9.7,1511,,,,,,,5.5,360,1635,2.5,320,1623,.7,563,-2.5,30,1556,71.3,5.1,1011.6,1023.4,957,1017.9,2339,1020.4,10,7.6,1200,1.93,11.41,,,,,,5.4,2.4,2.5,-5.9,,,,,,,,,,1.3,1.9,,
156,2022-01-11,-1.6,-3.5,2320,3,1,16.08,,,,,.2,10.9,50,1128,4.8,50,1137,2,1719,-4.3,57,1131,82.4,4.5,1012,1024.4,2328,1016.6,357,1021,10,3.5,1200,1.51,8.22,2.3,838,2.3,838,2.7,9.8,5.4,1.8,-4.4,,,,,,,,,,.8,1.2,,
156,2022-01-12,-2.5,-5.7,547,1.2,1609,1.42,,,,,0,6.6,50,122,3.8,70,546,2,1688,-8.3,54,1233,64.4,3.3,1014.2,1024.6,820,1021.8,2357,1023.2,10,6.6,1000,1.64,9.76,,,,,,6.5,5,-.3,-6.2,,,,,,,,,,.9,1.3,,
156,2022-01-13,-2.5,-4,551,-.3,1358,11.37,,,,,0,11.2,50,1449,4.9,50,1421,1.7,1505,-6.8,52,406,72,3.7,1013.5,1025.1,2349,1019.1,549,1022.4,10,2.1,1000,1.44,6.38,.4,2226,.4,2226,.4,8.9,7.8,-.5,-7.2,,,,,,,,,,.7,1.1,,
156,2022-01-14,-.9,-5,751,4.8,1533,,,,,,,6.5,70,352,3.8,70,353,1.6,1387,-10.8,19,1535,49.3,2.7,1016.9,1028.2,1029,1023.9,1619,1025.9,10,8.5,1200,2.24,13.72,,,.4,1,,3.4,1.4,.7,-7.3,,,,,,,,,,1.6,2.3,,
156,2022-01-15,2.2,-2.5,559,7.7,1610,,,,,,,3.5,250,1331,1.6,250,1336,.6,499,-6.4,29,1225,54.5,3.9,1015,1025.2,1,1022.1,1708,1023.8,10.1,4.7,1200,2.1,9.81,,,,,,5,5,1.4,-5.5,,,,,,,,,,1.1,1.6,,
156,2022-01-16,1.9,-.9,2329,5.5,1244,1.07,,,,,0,9.2,320,1429,4.1,50,1532,1.5,1337,-4.1,42,1301,66.6,4.7,1017.1,1028.4,2143,1023,424,1026,10.1,4.6,1200,2.65,11.28,,,,,,6.4,5.6,3.3,-4.7,,,,,,,,,,1.5,2.1,,
