date,WT,pH,EC,DO,TB,TOC,TN,TP,Chla,pct,Temp
2013-01-01,3.1,6.8,278,12.2,1.7,2,,,10.7,0.6,-0.3
2013-01-02,3.1,6.8,284,12.1,1.4,2.1,,,12.4,0.5,-3.2
2013-01-03,2.7,6.7,289,11.7,1.3,2.2,,,13.3,0,-6.8
2013-01-04,2.3,6.7,290,12,2.3,2.6,,,13.3,,-6
2013-01-05,2.6,6.7,291,11.9,1.3,2.5,,,13.2,,-3.3
2013-01-06,2.9,6.8,290,12.2,1.3,2.4,,,15.3,,-1.4
2013-01-07,3.2,6.9,290,12.3,1.4,2.6,,,18.4,,-2.3
2013-01-08,3.5,6.8,291,12.3,2.1,2.6,,,20,,-0.7
2013-01-09,3.6,6.8,294,12.9,,,,,22.8,,-3.4
2013-01-10,,,,,,2.3,,,23.4,,-4
2013-01-11,4,7.4,296,13.4,,2.2,,,26.1,,-1.5
2013-01-12,4,7.5,295,13.5,,2.4,,,30.6,,1.7
2013-01-13,4.1,8,294,14,,2.3,,,36.1,,0.7
2013-01-14,4.3,8.2,304,13.8,,2.2,,,37.3,,0.5
2013-01-15,4.3,8.7,305,14.5,,2.4,,,,,0.2
2013-01-16,4.2,8.5,316,14.1,3.8,2.6,,,,0,-0.1
2013-01-17,4,7.2,345,10.7,3.4,2.5,,,,0,-1.9
2013-01-18,3.9,7.5,346,11.7,3.2,2.6,,,,,-1.6
2013-01-19,4.1,7.8,343,12.3,3.3,2.7,,,,,1.7
2013-01-20,4.2,7.8,344,12.3,3.2,2.4,,,,0.5,4.2
2013-01-21,4.3,7.4,346,12.4,3.4,2.3,,,,13.5,6.8
2013-01-22,4.1,7.4,345,13,4.3,2.4,,,,0.2,4.1
2013-01-23,4,7.3,343,12.5,4.3,2.5,,,,3,2.8
2013-01-24,3.9,7.3,345,12.2,4.4,2.5,,,,0.1,1.2
2013-01-25,4,7.1,356,11.2,5.1,2.7,,,,0,-2.5
2013-01-26,3.8,7.2,355,11.6,6,2.6,,,,0.1,-3.3
2013-01-27,3.8,7.2,354,11.7,6.7,2.8,,,,0.1,-2.2
2013-01-28,3.8,7.3,354,12,6.2,2.8,,,,,0
2013-01-29,4.3,7.7,349,13.1,5.9,2.7,,,,,3.9
2013-01-30,,,,,,,,,,,6.5
2013-01-31,,,,,,,,,,2,9.4
2013-02-01,5.3,7.4,364,13,7.6,3.1,,,,20.5,10.9
2013-02-02,5.5,7.2,337,11.2,9.1,3.2,,,,,2.5
2013-02-03,5.5,7.3,332,11.7,9.9,3,,,,9,0.9
2013-02-04,6,7.2,327,11.1,16,3,,,,4.5,3.4
2013-02-05,6.3,7.1,324,10.1,15.6,3.4,,,,5.5,2.2
2013-02-06,6.4,7,314,9.1,12.1,3.4,,,,2,1.3
2013-02-07,6.2,6.9,288,8.1,16.4,3.4,,,,0,-4.8
2013-02-08,5.3,6.9,266,9,15.7,3.3,,,,0,-6.3
2013-02-09,5,6.9,261,9.3,13.5,3,,,,,-3.5
2013-02-10,4.9,6.9,258,9.6,11.8,3,,,,,-0.8
2013-02-11,4.7,6.9,255,9.8,10.9,3.1,,,,,-1.1
2013-02-12,4.4,6.9,251,9.7,10.1,3.1,,,,0.5,-0.8
2013-02-13,4.2,6.9,244,9.6,9,2.7,,,,,0.8
2013-02-14,4.3,7,242,9.3,8.2,2.6,,,,,3.3
2013-02-15,4.3,7,245,9.4,8,2.6,,,,,2
2013-02-16,4.2,7,249,9.4,7.1,2.7,,,,,0.2
2013-02-17,4.1,7,250,9.5,6.4,2.6,,,,5,2.8
2013-02-18,4.2,6.9,252,9.5,6.2,2.8,,,,1,3.6
2013-02-19,4,6.9,257,10,6.5,2.4,,,,,0.3
2013-02-20,3.9,7.1,261,10.4,6.2,2.4,,,,,-0.6
2013-02-21,4.1,7.1,267,10.5,5.5,2.3,,,,,1.3
2013-02-22,4.5,7.1,272,10.3,5.1,2.3,,,,0,2.6
2013-02-23,4.9,7.1,279,10.5,5.3,2.3,,,,,0.8
2013-02-24,5.4,7.2,283,11.3,4.9,2.3,,,,,2.7
2013-02-25,5.6,7.3,284,11.6,5.1,2.4,,,26.8,,6
2013-02-26,5.8,7.2,288,11.5,5.3,2.6,,,27.7,0,8
2013-02-27,6.3,7.3,287,12.1,6.1,2.1,,,31.5,,8.7
2013-02-28,6.8,7.4,283,12.4,6.9,2.2,,,35,,10.8
2013-03-01,7.2,7.4,278,12.1,9.4,2.3,,,41.3,4,3.8
2013-03-02,6.9,7.6,279,12.4,10.7,2.5,,,38.8,,0.6
2013-03-03,7,7.8,278,12.9,9.5,2.7,,,43.5,,1.6
2013-03-04,7.2,8,277,13.4,8.5,2.5,,,43,,4.2
2013-03-05,7.8,8.2,277,13.9,7.6,2.7,,,41.9,,5.4
2013-03-06,7.9,8.2,277,13.5,7.5,2.7,,,36.5,,9.3
2013-03-07,8,7.9,277,10.6,8.9,2.7,,,34.1,1,10.8
2013-03-08,8.5,7.9,276,10.7,9.1,2.6,,,34.5,,10.8
2013-03-09,9,7.9,274,10.6,8.8,2.5,,,34.9,,14.9
2013-03-10,9,7.7,276,10,11.2,2.7,,,32.2,,5.5
2013-03-11,9.9,8,276,10.4,9.6,2.6,,,34.1,,6.8
2013-03-12,9.6,8.2,277,12.1,8.3,2.6,,,46,,11.6
2013-03-13,9.8,8.4,278,13.3,10.4,,,,55.4,24.5,6.3
2013-03-14,10.4,8.7,281,14.1,11.4,2.5,,,66.9,,4.9
2013-03-15,10.7,8.9,281,14,12.2,2.6,,,75.8,,6.9
2013-03-16,10.8,9,282,14.4,12.1,2.7,,,83.5,,9.1
2013-03-17,10.6,8.9,289,13.6,12.9,2.7,,,80.2,28,9.7
2013-03-18,11.4,8,328,11.1,25.9,3.5,,,76.8,18,10.3
2013-03-19,12.3,7.2,290,8.9,41.1,4.4,,,57.6,,13.1
2013-03-20,12.5,7,266,8.1,28.1,4.3,,,41.3,0,6.7
2013-03-21,12.1,7,234,8.1,27.2,4.8,,,33.3,,3.6
2013-03-22,11.6,6.9,204,7.6,28,3.8,,,25.1,,6.4
2013-03-23,12.5,7,195,8.8,24.5,2.9,,,26,,8.5
2013-03-24,11.8,7,192,8.9,21.1,2.9,,,26.9,,6.8
2013-03-25,11.2,7,190,8.4,20.3,3.1,,,28.1,,3.5
2013-03-26,12.1,7.5,187,10,15.5,3.3,,,40.8,,7
2013-03-27,12.8,7.8,186,11.3,11.2,3.3,,,48.2,,11.1
2013-03-28,12.3,7.7,187,11.4,9.8,3.8,,,47.8,,10.4
2013-03-29,11.8,7.3,193,10.8,12.2,4.1,,,49.3,,7.6
2013-03-30,12.3,7.6,198,11.6,11.8,3.8,3.575,0.161,54.8,0.4,8.5
2013-03-31,12.2,7.4,198,11.6,9.7,3.7,3.562,0.167,53.3,1,9.5
2013-04-01,12.2,7.3,201,11.3,8.1,3.8,3.62,0.19,45.5,,11.9
