date,WT,pH,EC,DO,TOC,TN,TP,Chla,pct,Temp
2013-01-01,4.1,6.9,406,10.8,2.8,,,7,0.6,-0.3
2013-01-02,4.3,6.9,431,9.2,2.8,,,7.1,0.5,-3.2
2013-01-03,3.8,6.9,417,7.6,3.1,,,7.2,0,-6.8
2013-01-04,3.3,6.9,402,8.8,2.7,,,7.1,,-6
2013-01-05,3.2,6.9,409,8.8,2.8,,,7.2,,-3.3
2013-01-06,3.7,6.9,411,8.8,2.7,,,7.2,,-1.4
2013-01-07,3.5,6.9,397,9.3,2.5,,,7.1,,-2.3
2013-01-08,3.7,7,394,9.8,2.7,,,7,,-0.7
2013-01-09,3.7,7,407,9.8,3,,,6.9,,-3.4
2013-01-10,3.5,7,417,9.9,3.4,,,7.1,,-4
2013-01-11,3.5,7,419,9.5,3.3,,,7.1,,-1.5
2013-01-12,3.8,7,400,9.6,3.5,,,7,,1.7
2013-01-13,4,7,392,10.1,3.2,,,7.2,,0.7
2013-01-14,4.1,7,400,10.1,3.1,,,7.2,,0.5
2013-01-15,4.2,7,405,10.3,3.6,,,7.2,,0.2
2013-01-16,4.5,7,416,10.3,3.4,,,,0,-0.1
2013-01-17,4.7,7,426,9.9,3.8,,,,0,-1.9
2013-01-18,4.5,7,427,9.7,3.9,,,,,-1.6
2013-01-19,4.6,7,420,10.3,4,,,,,1.7
2013-01-20,5,7,420,10.8,4,,,,0.5,4.2
2013-01-21,5.5,7.1,417,10.8,3.6,,,,13.5,6.8
2013-01-22,5.5,7,409,9.6,4.1,,,,0.2,4.1
2013-01-23,6.1,7,388,8.2,4.3,,,,3,2.8
2013-01-24,5.9,6.9,374,6.2,4,,,,0.1,1.2
2013-01-25,5.1,7,340,7.6,4.1,,,,0,-2.5
2013-01-26,4.6,7.1,331,9.3,4.4,,,,0.1,-3.3
2013-01-27,4.3,7.1,338,9.5,3.9,,,,0.1,-2.2
2013-01-28,4.1,7.2,330,11.4,3.6,,,,,0
2013-01-29,4.4,7.2,315,12.5,3.7,,,,,3.9
2013-01-30,5.2,7.2,298,12.9,3.5,,,,,6.5
2013-01-31,5.7,7.2,323,11.7,3.7,,,,2,9.4
2013-02-01,6.8,7.1,345,9.5,4.2,,,,20.5,10.9
2013-02-02,8.2,7.1,327,7.2,5.2,,,,,2.5
2013-02-03,7.9,7.1,274,6.5,5.1,,,,9,0.9
2013-02-04,6.8,7.1,257,8.8,4,,,,4.5,3.4
2013-02-05,,,,,,,,,5.5,2.2
2013-02-06,,,,,,,,,2,1.3
2013-02-07,5.1,7,241,9.9,4.1,,,,0,-4.8
2013-02-08,4.1,7,245,9.8,4.1,,,,0,-6.3
2013-02-09,3.2,7,242,11.3,3.8,,,,,-3.5
2013-02-10,3,7,248,11.8,3.1,,,,,-0.8
2013-02-11,3.3,7,255,11.7,3,,,,,-1.1
2013-02-12,3.5,6.9,268,10.3,3,,,,0.5,-0.8
2013-02-13,4.2,6.9,277,9,3,,,,,0.8
2013-02-14,4.6,7,265,9.8,3,,,,,3.3
2013-02-15,5.1,7,267,9.8,2.8,,,,,2
2013-02-16,5.3,7,274,9.4,2.9,,,,,0.2
2013-02-17,5.3,7,271,10,2.5,,,,5,2.8
2013-02-18,5.5,7,278,10,2.3,,,,1,3.6
2013-02-19,5.2,7,279,9.8,2.7,,,,,0.3
2013-02-20,4.7,7.1,252,10.1,3,,,,,-0.6
2013-02-21,5.2,7.1,266,9.3,3.3,,,,,1.3
2013-02-22,5.6,7.1,262,8.5,,,,,0,2.6
2013-02-23,5.7,7.1,259,9.6,,,,,,0.8
2013-02-24,6.2,7.1,247,10.6,,,,,,2.7
2013-02-25,7.1,7.1,237,10.6,,,,5.3,,6
2013-02-26,6.9,7.1,242,10.1,3,,,7.6,0,8
2013-02-27,7.6,7.1,278,9.1,3,,,11.9,,8.7
2013-02-28,8.4,7.1,264,8.9,3,,,12.5,,10.8
2013-03-01,8.6,7.1,259,9,3.2,,,14.3,4,3.8
2013-03-02,8.4,7.1,264,9.3,3.3,,,16.5,,0.6
2013-03-03,8.2,7.3,258,11.3,2.9,,,24.2,,1.6
2013-03-04,8.4,7.4,266,13.3,3,,,35.6,,4.2
2013-03-05,9.4,7.7,286,15,3.7,,,52.3,,5.4
2013-03-06,9.5,7.8,301,14.7,3.6,,,71.6,,9.3
2013-03-07,9.6,7.5,326,12.6,4.7,,,87,1,10.8
2013-03-08,10.2,7.5,348,13,4.3,,,100.6,,10.8
2013-03-09,11,7.5,352,13,3.6,,,108.5,,14.9
2013-03-10,11,7.5,344,12.6,3.6,,,115.8,,5.5
2013-03-11,11.9,7.9,345,14.2,3.8,,,113.3,,6.8
2013-03-12,12.3,7.9,359,14.2,4.3,,,107.9,,11.6
2013-03-13,12,7.3,379,9.4,4.4,,,107.1,24.5,6.3
