Code,MIC,TMC,MC-LR,MC-RR,Chl-a,TOC,TN,TP,NO2+NO3-N,PO4-P,NH3-N,DIN,WT,DO,pH,EC,Turb,Light 
P1-Aug1 ,7898,0,0,0,11.54,3.39,2.189,0.098,1.608,0.083,0.064,1.672,33,9.2,8,267,28.2,313.6
P1-Aug2 ,11025,0,0,0,9.41,1.89,2.208,0.07,1.673,0.056,0.019,1.692,33.4,8.3,7.9,268,6.2,328.1
P1-Aug3,10500,0,0,0,21.26,3.77,1.672,0.062,1.347,0.05,0.01,1.356,31.8,6.9,7.6,251,3.2,443.4
P1-Aug4,21800,0,0,0,29.89,3.78,2.073,0.059,1.417,0.035,0.01,1.426,31.6,11.6,8.8,248,3,188.8
P1-Aug5,79000,0.34,0,0.34,34.3,5.11,2.03,0.087,1.277,0.049,0.012,1.289,29,11.7,8.9,248,1.7,365.7
P1-Aug6,49750,0.21,0,0.21,17.48,4.23,1.925,0.057,1.28,0.036,0.002,1.282,27.8,13.3,9.1,249,2.9,169.4
P1-Aug7,23149,0.15,0,0.15,7.31,2.94,1.733,0.036,1.323,0.022,0.022,1.345,24.9,9.1,8.8,249,1.6,51.6
P1-Sep1,135650,4.56,0.97,3.48,59.56,4.07,1.841,0.068,1.015,0.039,0.017,1.032,27.3,15.3,9.5,243,3.2,108.5
P1-Sep2,190500,2.74,0.53,2.07,39.8,6.15,1.824,0.079,0.844,0.048,0.005,0.849,26.9,17.1,9.6,238,3.6,351.3
P1-Sep3,26150,0.31,0,0.31,9.18,3.43,1.224,0.026,0.732,0.018,0.003,0.734,27.8,18.7,9.8,238,2.3,315.1
P1-Sep4,14844,0.43,0.09,0.34,9.56,4.21,1.089,0.026,0.629,0.018,0.009,0.638,27,17.9,9.8,235,3.7,83.9
P1-Sep5,6608,0.43,0.08,0.35,13.19,3.7,1.133,0.024,0.847,0.019,0.006,0.853,28,18,9.6,232,3.2,98.8
P1-Sep6,10838,0.18,0,0.18,4.86,4.03,0.899,0.035,0.434,0.017,0.005,0.438,29.4,23,10,244,2.6,222.3
P1-Sep7,10940,0.18,0,0.18,6.29,3.45,0.477,0.015,0.375,0.012,0.006,0.38,27.8,19.7,9.7,228,1.4,163.3
P1-Sep8,9818,0.77,0.18,0.59,30.75,2.87,0.459,0.028,0.375,0.02,0.007,0.382,28.5,22.9,10.1,233,6.8,251.9
P1-Sep9,6987,0.8,0.22,0.58,29.63,4.35,0.638,0.024,0.411,0.025,0.006,0.417,26.5,19.4,9.7,226,2.1,336.4
P1-Sep10,14153,0.67,0.12,0.55,167.21,4.78,0.648,0.032,0.271,0.027,0.005,0.276,27.2,20.9,9.9,226,2.3,179.7
P1-Sep11,6783,0.45,0.13,0.32,8.52,4.13,0.664,0.016,0.323,0.015,0.009,0.332,25.2,16.4,9.7,222,1.1,126.8
P1-Oct1,3978,0.4,0.05,0.35,3.45,3.62,0.617,0.02,0.239,0.018,0.007,0.245,26.1,20.3,9.6,224,0.8,562.2
P1-Oct2,14357,0.56,0.13,0.43,8.25,4.44,0.733,0.024,0.218,0.015,0.014,0.232,23.8,12.9,9.5,220,0.8,98.6
P1-Oct3,18488,0.22,0,0.22,5.56,4.38,0.366,0.023,0.121,0.016,0.009,0.13,23.3,15.3,9.8,223,1.1,212.7
P1-Oct4,32946,2.18,0.47,1.72,16.07,4.75,0.365,0.021,0.039,0.011,0.007,0.046,22.8,12.1,10,225,1.3,131.3
P1-Oct5,16524,0.2,0,0.2,2.93,4.28,0.132,0.018,0.039,0.009,0.009,0.048,21.3,12.9,9.9,222,0.4,83.9
P1-Nov1,20324,1.07,0.43,0.64,7.61,4.49,0.522,0.036,0.034,0.007,0.003,0.037,19.3,14.9,9.7,222,1.3,89.2
P1-Nov2,8670,0.44,0.2,0.25,3.95,4.52,0.372,0.013,0.018,0.005,0.003,0.021,20.3,17.1,9.8,224,0.6,87.5
