Code,MIC,TMC,MC-LR,MC-RR,Chl-a,TOC,TN,TP,NO2+NO3-N,PO4-P,NH3-N,WT,EC,Light 
P1-Aug1 ,7898,0,0,0,11.54,3.39,2.189,0.098,1.608,0.083,0.064,33,267,313.6
P1-Aug2 ,11025,0,0,0,9.41,1.89,2.208,0.07,1.673,0.056,0.019,33.4,268,328.1
P1-Aug3,10500,0,0,0,21.26,3.77,1.672,0.062,1.347,0.05,0.01,31.8,251,443.4
P1-Aug4,21800,0,0,0,29.89,3.78,2.073,0.059,1.417,0.035,0.01,31.6,248,188.8
P1-Aug5,79000,0.34,0,0.34,34.3,5.11,2.03,0.087,1.277,0.049,0.012,29,248,365.7
P1-Aug6,49750,0.21,0,0.21,17.48,4.23,1.925,0.057,1.28,0.036,0.002,27.8,249,169.4
P1-Aug7,23149,0.15,0,0.15,7.31,2.94,1.733,0.036,1.323,0.022,0.022,24.9,249,51.6
P1-Sep1,135650,4.56,0.97,3.48,59.56,4.07,1.841,0.068,1.015,0.039,0.017,27.3,243,108.5
P1-Sep2,190500,2.74,0.53,2.07,39.8,6.15,1.824,0.079,0.844,0.048,0.005,26.9,238,351.3
P1-Sep3,26150,0.31,0,0.31,9.18,3.43,1.224,0.026,0.732,0.018,0.003,27.8,238,315.1
P1-Sep4,14844,0.43,0.09,0.34,9.56,4.21,1.089,0.026,0.629,0.018,0.009,27,235,83.9
P1-Sep5,6608,0.43,0.08,0.35,13.19,3.7,1.133,0.024,0.847,0.019,0.006,28,232,98.8
P1-Sep6,10838,0.18,0,0.18,4.86,4.03,0.899,0.035,0.434,0.017,0.005,29.4,244,222.3
P1-Sep7,10940,0.18,0,0.18,6.29,3.45,0.477,0.015,0.375,0.012,0.006,27.8,228,163.3
P1-Sep8,9818,0.77,0.18,0.59,30.75,2.87,0.459,0.028,0.375,0.02,0.007,28.5,233,251.9
P1-Sep9,6987,0.8,0.22,0.58,29.63,4.35,0.638,0.024,0.411,0.025,0.006,26.5,226,336.4
P1-Sep10,14153,0.67,0.12,0.55,167.21,4.78,0.648,0.032,0.271,0.027,0.005,27.2,226,179.7
P1-Sep11,6783,0.45,0.13,0.32,8.52,4.13,0.664,0.016,0.323,0.015,0.009,25.2,222,126.8
P1-Oct1,3978,0.4,0.05,0.35,3.45,3.62,0.617,0.02,0.239,0.018,0.007,26.1,224,562.2
P1-Oct2,14357,0.56,0.13,0.43,8.25,4.44,0.733,0.024,0.218,0.015,0.014,23.8,220,98.6
P1-Oct3,18488,0.22,0,0.22,5.56,4.38,0.366,0.023,0.121,0.016,0.009,23.3,223,212.7
P1-Oct4,32946,2.18,0.47,1.72,16.07,4.75,0.365,0.021,0.039,0.011,0.007,22.8,225,131.3
P1-Oct5,16524,0.2,0,0.2,2.93,4.28,0.132,0.018,0.039,0.009,0.009,21.3,222,83.9
P1-Nov1,20324,1.07,0.43,0.64,7.61,4.49,0.522,0.036,0.034,0.007,0.003,19.3,222,89.2
P1-Nov2,8670,0.44,0.2,0.25,3.95,4.52,0.372,0.013,0.018,0.005,0.003,20.3,224,87.5
