MIC,TMC,MC-LR,MC-RR,Chl-a,TOC
7898,0,0,0,11.54,3.39
11025,0,0,0,9.41,1.89
10500,0,0,0,21.26,3.77
21800,0,0,0,29.89,3.78
79000,0.34,0,0.34,34.3,5.11
49750,0.21,0,0.21,17.48,4.23
23149,0.15,0,0.15,7.31,2.94
135650,4.56,0.97,3.48,59.56,4.07
190500,2.74,0.53,2.07,39.8,6.15
26150,0.31,0,0.31,9.18,3.43
14844,0.43,0.09,0.34,9.56,4.21
6608,0.43,0.08,0.35,13.19,3.7
10838,0.18,0,0.18,4.86,4.03
10940,0.18,0,0.18,6.29,3.45
9818,0.77,0.18,0.59,30.75,2.87
6987,0.8,0.22,0.58,29.63,4.35
14153,0.67,0.12,0.55,167.21,4.78
6783,0.45,0.13,0.32,8.52,4.13
3978,0.4,0.05,0.35,3.45,3.62
14357,0.56,0.13,0.43,8.25,4.44
18488,0.22,0,0.22,5.56,4.38
32946,2.18,0.47,1.72,16.07,4.75
16524,0.2,0,0.2,2.93,4.28
20324,1.07,0.43,0.64,7.61,4.49
8670,0.44,0.2,0.25,3.95,4.52
