기준일,조사일,temp,pH,DO,Chl_a,cells,time,year,status
2012-01-01,2012-01-05,6.3,8,14.2,23.6,0,4,2012,0
2012-01-01,2012-01-09,5.9,7.9,14.3,25.4,0,8,2012,0
2012-01-01,2012-01-12,5.1,7.6,13.5,33.4,0,11,2012,0
2012-01-01,2012-01-17,8.2,8.3,14.3,73.4,0,16,2012,0
2012-01-01,2012-01-18,6.1,7.2,12.8,66.6,0,17,2012,0
2012-01-01,2012-01-19,7.8,8.4,15.1,84.8,0,18,2012,0
2012-01-01,2012-01-20,9.4,8.2,14.1,83,0,19,2012,0
2012-01-01,2012-01-21,8.7,8.1,13,86.7,0,20,2012,0
2012-01-01,2012-01-22,6.4,8,11.8,64.3,0,21,2012,0
2012-01-01,2012-01-23,5.9,8.4,12.9,96.9,0,22,2012,0
2012-01-01,2012-01-24,4.6,7.7,14.4,56.9,0,23,2012,0
2012-01-01,2012-01-26,4.2,8.4,15.4,70.4,0,25,2012,0
2012-01-01,2012-01-27,4.3,7.9,15.6,75.5,0,26,2012,0
2012-01-01,2012-01-30,5.9,8.5,16.3,54.4,0,29,2012,0
2012-01-01,2012-02-02,4.8,7.6,14.1,51.4,0,32,2012,0
2012-01-01,2012-02-06,4.7,8.3,12.8,40.4,0,36,2012,0
2012-01-01,2012-02-09,6.1,7.3,13.6,30.2,0,39,2012,0
2012-01-01,2012-02-13,6.7,7.6,13.1,70.1,0,43,2012,0
2012-01-01,2012-02-16,6.9,8,13.2,103.7,0,46,2012,0
2012-01-01,2012-02-20,7.1,8,13.9,49.6,0,50,2012,0
2012-01-01,2012-02-23,8.3,7.8,13.9,80.2,0,53,2012,0
2012-01-01,2012-02-27,8.1,7.9,13.6,43.6,0,57,2012,0
2012-01-01,2012-03-05,10.5,7.4,10.6,63.1,0,64,2012,0
2012-01-01,2012-03-12,7.2,8.1,12.9,53.9,0,71,2012,0
2012-01-01,2012-03-15,9.6,7.6,12.7,43.6,0,74,2012,0
2012-01-01,2012-03-19,10.3,7.8,12.4,67.4,0,78,2012,0
2012-01-01,2012-03-22,10.6,7.8,12.4,82.6,0,81,2012,0
2012-01-01,2012-03-26,10,8.3,12.2,92.4,0,85,2012,0
