region,spot,year,month,day,half,pollution,depth,WT,DO,pH,EC,sand,silt,clay,moisture,combustible,COD,TOC,TN,TP,SRP,Pb,Zn,Cu,Cr,Ni,As,Cd,Hg,Al,Li
Nakdong,거창위천2,2015,3,30,first,slightlybad,0.5,15,8.7,7.8,82,100,0,0,16.2,0.39,0.08,0.04,337,54,0,19.9,55,11.5,21.6,3.2,1.5,0.1,0.091,9.35,14.6
Geum,곡교천2,2015,3,31,first,slightlybad,1,16,6.3,7.2,1009,71.5,26.3,2.3,22,0.8,0.14,0.29,802,460,8.6,29.6,259.9,104.9,90.4,35,6.7,0.55,0.093,10.77,33.9
Yeongsan,곡성,2015,3,26,first,normal,0.7,15,12.5,7.9,169,99.5,0.5,0,19.5,0.53,0.07,0.21,240,192,10,28.9,127.5,24.7,32.9,14.5,7.9,0.24,0.048,7.7,77.5
Nakdong,곤양천,2015,3,23,first,slightlybad,1,13,10.3,7.6,110,95.2,4.8,0,16.6,1.05,0.07,0.11,337,80,0,10.3,77.1,15.8,251.8,17.3,3.2,0.1,0.013,6.51,15.5
Yeongsan,광양서천,2015,3,30,first,slightlybad,0.7,16,11.1,7.9,80,98.9,1.1,0,28.8,1.24,0.07,0.16,260,345,0,44.1,237.7,45.1,45.7,20.6,10,0.58,0.041,9.36,34.3
Yeongsan,남원,2015,3,25,first,normal,0.6,16,8.9,8,158,100,0,0,6.3,0.45,0.06,0.08,250,117,5.5,28.1,117,26.4,30.3,13.5,7.2,0.26,0.042,6.75,65.1
Yeongsan,남해봉천,2015,3,23,first,normal,0.6,13,11.4,7.7,149,92.9,7.1,0,18.7,2.17,0.09,0.21,841,266,0,23.9,202.5,32.7,94,29.4,8.2,0.19,0.028,9.45,29.3
Nakdong,다사,2015,3,19,first,slightlybad,10,12,11.4,8.3,279,4.5,83.3,12.2,40.8,8.36,2.44,1.76,3272,630,5,31.3,171.1,27.1,62.5,26.8,9.9,0.32,0.081,11.18,38.7
Nakdong,다사U,2015,3,19,first,slightlybad,12.8,14,9.8,7.6,237,100,0,0,22.7,1.13,0.24,0.21,1030,151,0,33.4,189.6,29.2,67,33.1,11.2,0.34,0.077,10.88,40.4
Geum,당진천2,2015,3,31,first,normal,0.7,13,8.6,7.5,509,84.2,14.8,1.1,21.3,1.04,0.11,0.29,719,685,9.1,30.3,191.8,35.2,63.5,26.3,10.4,0.31,0.05,7.95,36.7
Nakdong,덕천강2,2015,3,31,first,slightlybad,1.5,17,9,7.6,41,88.4,11.6,0,26.1,2.15,0.28,0.27,995,631,0,27.1,113.4,19,124.2,30.4,5.3,0.19,0.012,10.06,22.6
Yeongsan,동계,2015,3,24,first,slightlybad,0.4,13,12.4,7.9,109,100,0,0,23.7,0.99,0.07,0.12,200,194,5.5,37.3,117.8,62.1,32.7,14.2,6.7,0.37,0.052,7.39,42.8
Nakdong,명촌,2015,3,16,first,normal,1,14,8.9,8.4,40100,86,12.9,1.1,17.7,1.24,0.14,0.17,961,136,7.7,19.9,104.4,16.7,72.8,15.1,8.2,0.13,0.045,6.89,18
Nakdong,밀양강3,2015,3,27,first,normal,2.5,15,10.1,8.1,272,100,0,0,22.1,1.11,0.11,0.09,878,227,0,21.8,85.4,10.4,44.2,6.8,12.1,0.17,0.006,7.79,23.3
Yeongsan,보성강7,2015,3,26,first,normal,0.6,12,12.2,7.5,85,100,0,0,17.9,0.8,0.11,0.2,330,173,5.1,25.8,114.4,29.5,71,30.4,9.7,0.26,0.038,8.93,54.1
Han,섬강4-1,2015,3,26,first,normal,1.5,11,13,7.9,317,99.4,0.5,0.1,22.1,0.59,0.07,0.22,190,112,5.5,24.8,86.3,6.9,20.5,6.5,3.8,0.2,0.026,6.27,32.1
Yeongsan,수어천2,2015,3,31,first,normal,1,14,7.6,7.7,31870,2,81,17.1,49,10,1.89,1.83,1780,279,7.8,24.9,129.3,29.7,54,24.4,7.7,0.17,0.05,10.6,108.3
Nakdong,양덕천,2015,3,26,first,slightlybad,0.5,14,10.3,7.3,150,63.8,34.7,1.5,26.1,3.01,0.28,0.39,671,296,0,35.7,160.5,46.3,49.6,13.9,14.2,0.4,0.722,8.61,21
Nakdong,연초천2,2015,3,24,first,normal,0.8,10,11.2,7.2,196,88.5,11.4,0.1,24,3.54,0.21,0.29,942,380,5.6,21,199.4,28.8,75.6,19.6,7.5,0.37,0.049,8.63,34.1
Geum,영동,2015,3,25,first,slightlybad,2.3,9,13.3,8,120,90.3,9.7,0,23.1,1.22,0.18,0.5,950,744,0,35.8,198.3,27.7,38.7,20.4,10.1,0.48,0.044,8.53,39.1
Geum,영동천2,2015,3,25,first,slightlybad,0.4,10,14.8,8.4,217,89,11,0,23.7,1.1,0.1,0.25,626,850,0,32.4,201.6,31.4,31.7,18.5,17.4,0.32,0.04,8.29,48.2
Yeongsan,오수천,2015,3,24,first,normal,0.5,11,10.9,7.3,182,99.6,0.5,0,11.2,0.5,0.07,0.13,320,120,4.7,22.1,97.7,25.7,22.3,9.5,5.9,0.27,0.034,5.27,70.7
Yeongsan,요천-1,2015,3,25,first,normal,0.9,15,9.4,7.9,182,98.9,1.1,0,20.4,0.49,0.09,0.12,310,90,4,41.3,118,28.4,21.2,8.6,5.5,0.21,0.045,7.06,103
Geum,우산,2015,3,30,first,normal,1.2,13,11.4,8,134,90.3,9.7,0,20.1,1.1,0.2,0.34,634,346,0,43.5,161.6,29.7,53.3,25,9.5,0.35,0.053,8.32,33.8
Yeongsan,운암,2015,3,23,first,normal,0.7,12,12.3,8.1,103,94.3,5.7,0,16.5,1.49,0.16,0.34,490,286,6.6,26.2,94.1,24,39.7,16,7.6,0.2,0.031,9.75,60.7
