Á¶»ç¿ù,WT,pH,DO,BOD,COD,SS,EC,TN,TP,TOC
1,2.6 ,8.4 ,15.9 ,2.0 ,5.1 ,6.3 ,358 ,3.641 ,0.050 ,2.4 
2,4.8 ,8.5 ,15.4 ,2.9 ,5.7 ,8.3 ,363 ,3.579 ,0.056 ,2.5 
3,9.6 ,8.6 ,12.7 ,4.6 ,7.8 ,18.1 ,472 ,3.746 ,0.097 ,2.9 
4,13.7 ,8.1 ,11.5 ,2.8 ,5.4 ,16.0 ,368 ,3.212 ,0.076 ,2.7 
5,21.9 ,8.1 ,10.3 ,3.1 ,6.3 ,11.9 ,393 ,2.309 ,0.079 ,3.1 
6,24.9 ,8.2 ,9.1 ,3.4 ,7.4 ,9.4 ,364 ,2.148 ,0.087 ,4.9 
7,26.1 ,8.1 ,8.6 ,3.2 ,7.4 ,13.3 ,313 ,2.394 ,0.098 ,5.0 
8,26.9 ,7.6 ,7.4 ,2.3 ,6.8 ,14.4 ,293 ,2.217 ,0.118 ,4.0 
9,25.1 ,8.2 ,9.8 ,3.2 ,7.1 ,11.7 ,271 ,2.303 ,0.097 ,4.5 
10,19.9 ,8.2 ,10.3 ,2.8 ,6.8 ,12.0 ,295 ,2.259 ,0.083 ,4.1 
11,13.4 ,7.9 ,10.7 ,2.3 ,6.3 ,9.6 ,398 ,2.592 ,0.067 ,4.0 
12,8.0 ,8.1 ,12.0 ,2.2 ,5.4 ,6.5 ,393 ,3.048 ,0.046 ,3.5 
