년월,함안_TN,함안_EC,광려천3_TN,광려천3_EC
201201,4.090 ,352 ,3.539 ,393 
201202,4.070 ,386 ,3.321 ,414 
201203,3.977 ,378 ,3.890 ,456 
201204,3.486 ,278 ,3.650 ,196 
201205,2.636 ,221 ,2.841 ,415 
201206,2.351 ,297 ,2.366 ,335 
201207,2.707 ,231 ,2.252 ,274 
201208,2.348 ,170 ,2.991 ,327 
201209,2.515 ,142 ,2.282 ,262 
201210,2.705 ,187 ,2.499 ,267 
201211,2.972 ,285 ,2.841 ,415 
201212,3.202 ,281 ,2.915 ,372 
201301,3.842 ,317 ,3.531 ,320 
201302,3.583 ,270 ,3.429 ,286 
201303,3.540 ,271 ,3.371 ,434 
201304,3.230 ,267 ,2.757 ,433 
201305,3.070 ,284 ,1.799 ,472 
201306,2.332 ,242 ,2.357 ,320 
201307,2.548 ,175 ,2.449 ,285 
201308,2.369 ,221 ,1.781 ,219 
201309,2.155 ,252 ,2.358 ,280 
201310,2.298 ,244 ,2.685 ,295 
201311,2.530 ,287 ,2.626 ,360 
201312,3.825 ,380 ,3.471 ,369 
201401,3.674 ,372 ,3.674 ,381 
201402,3.843 ,386 ,3.757 ,363 
201403,4.656 ,490 ,3.884 ,550 
201404,3.794 ,395 ,3.422 ,489 
201405,2.454 ,245 ,2.349 ,381 
201406,2.387 ,330 ,2.093 ,361 
201407,1.913 ,294 ,2.340 ,380 
201408,2.444 ,172 ,2.663 ,253 
201409,2.706 ,210 ,2.644 ,244 
201410,2.501 ,240 ,2.355 ,301 
201411,2.736 ,245 ,2.556 ,349 
201412,2.972 ,285 ,2.860 ,359 
201501,3.537 ,342 ,3.820 ,338 
201502,4.035 ,363 ,3.807 ,387 
201503,3.897 ,367 ,3.839 ,449 
201504,2.739 ,268 ,3.017 ,354 
201505,1.909 ,211 ,2.245 ,302 
201506,1.788 ,300 ,1.776 ,441 
201507,2.111 ,219 ,2.535 ,312 
201508,1.703 ,250 ,1.432 ,371 
201509,1.833 ,255 ,1.926 ,298 
201510,1.550 ,299 ,1.496 ,318 
201511,2.616 ,443 ,2.343 ,467 
201512,2.614 ,374 ,2.946 ,470 
