Á¶»ç¿ù,WT,pH,DO,BOD,COD,SS,EC,TN,TP,TOC
1,3.4,7.7,13.9,2.9,5.2,17.5,271,3.349,0.063,3.6
2,3.9,7.9,14.8,3.1,5.6,14.1,261,3.043,0.057,3.6
3,9.5,8,13,4.8,8.2,46.4,261,3.381,0.116,5.5
4,14.7,7.7,11,4.1,7.8,48.3,237,3.108,0.109,5
5,20.7,7.5,8.7,3.8,8.4,61.2,227,2.324,0.112,5.7
6,24.1,7.3,7,3.3,9.6,40.6,233,2.66,0.12,7.5
7,26.1,7.4,7.3,2.4,8.1,46.2,207,2.569,0.142,5.9
8,26.6,7.2,7.9,2.2,7.2,28.3,167,2.103,0.152,4.6
9,23.8,7.3,8.3,1.8,5.3,24,174,1.907,0.094,3.7
10,18,7.6,10.4,3.3,7,36.1,205,1.807,0.114,4.7
11,11.4,7.5,11.4,2.6,6.2,26.1,247,2.83,0.125,4.6
12,6.2,7.7,13.6,2.6,5.8,19.9,259,3.526,0.097,3.8
