조사년도,조사월,측정소명,Rain,WT,pH,DO,BOD,COD,SS,EC,TN,TP,TOC
2012,1,영산포-1,15.10 ,3.8 ,8.5 ,15.3 ,5.6 ,10.1 ,17.7 ,453 ,7.621 ,0.355 ,6.1 
2012,2,영산포-1,22.48 ,3.7 ,8.3 ,15.0 ,6.0 ,10.4 ,21.8 ,468 ,8.210 ,0.360 ,7.5 
2012,3,영산포-1,117.08 ,8.6 ,8.3 ,14.5 ,6.7 ,11.5 ,24.0 ,405 ,7.462 ,0.324 ,7.9 
2012,4,영산포-1,119.02 ,14.9 ,8.1 ,12.1 ,5.2 ,9.5 ,49.9 ,245 ,4.931 ,0.217 ,5.9 
2012,5,영산포-1,40.78 ,22.9 ,7.6 ,9.3 ,5.5 ,8.8 ,67.0 ,268 ,3.604 ,0.187 ,6.2 
2012,6,영산포-1,74.85 ,25.7 ,7.5 ,9.9 ,9.3 ,12.9 ,25.2 ,332 ,4.182 ,0.161 ,8.7 
2012,7,영산포-1,315.37 ,25.9 ,6.7 ,8.1 ,5.4 ,8.8 ,33.4 ,223 ,3.494 ,0.165 ,6.0 
2012,8,영산포-1,490.67 ,28.2 ,7.9 ,7.4 ,4.6 ,10.6 ,34.3 ,195 ,2.154 ,0.106 ,5.6 
2012,9,영산포-1,265.96 ,23.6 ,7.6 ,9.4 ,2.1 ,5.3 ,18.4 ,122 ,2.076 ,0.073 ,2.6 
2012,10,영산포-1,75.57 ,18.7 ,7.8 ,9.8 ,3.7 ,7.9 ,31.5 ,258 ,3.331 ,0.060 ,4.4 
2012,11,영산포-1,45.26 ,11.9 ,7.6 ,10.6 ,3.6 ,6.4 ,18.1 ,287 ,3.731 ,0.061 ,3.9 
2012,12,영산포-1,75.60 ,6.5 ,8.2 ,13.6 ,4.6 ,7.7 ,12.9 ,349 ,4.319 ,0.065 ,3.8 
2013,1,영산포-1,19.92 ,3.9 ,8.1 ,14.6 ,3.8 ,7.5 ,12.4 ,360 ,5.597 ,0.078 ,4.8 
2013,2,영산포-1,50.80 ,4.4 ,7.5 ,12.4 ,2.9 ,6.8 ,10.1 ,272 ,4.792 ,0.119 ,4.4 
2013,3,영산포-1,75.15 ,9.7 ,8.3 ,13.3 ,4.8 ,8.9 ,20.3 ,268 ,4.507 ,0.094 ,5.7 
2013,4,영산포-1,55.41 ,13.4 ,7.8 ,11.6 ,4.7 ,8.1 ,15.5 ,266 ,4.484 ,0.061 ,5.0 
2013,5,영산포-1,121.13 ,20.3 ,7.9 ,9.9 ,4.9 ,9.8 ,15.2 ,347 ,4.968 ,0.067 ,6.0 
2013,6,영산포-1,84.75 ,24.3 ,7.5 ,7.7 ,3.7 ,9.6 ,30.1 ,226 ,3.695 ,0.127 ,6.2 
2013,7,영산포-1,304.09 ,27.5 ,7.2 ,7.4 ,3.4 ,7.4 ,68.1 ,205 ,2.922 ,0.153 ,5.1 
2013,8,영산포-1,279.12 ,29.7 ,8.1 ,8.6 ,4.3 ,9.9 ,26.0 ,198 ,2.421 ,0.147 ,5.3 
2013,9,영산포-1,90.15 ,25.3 ,7.5 ,7.7 ,2.7 ,6.2 ,22.2 ,161 ,2.490 ,0.151 ,4.5 
2013,10,영산포-1,29.42 ,21.0 ,7.9 ,8.6 ,3.7 ,7.3 ,27.1 ,279 ,3.082 ,0.097 ,4.9 
2013,11,영산포-1,91.95 ,12.7 ,8.0 ,10.5 ,2.9 ,6.2 ,24.2 ,425 ,4.239 ,0.100 ,4.9 
2013,12,영산포-1,15.62 ,6.8 ,7.9 ,12.2 ,3.5 ,6.4 ,11.8 ,480 ,4.807 ,0.099 ,4.9 
2014,1,영산포-1,13.01 ,3.6 ,8.7 ,15.6 ,5.9 ,8.9 ,20.2 ,552 ,6.304 ,0.085 ,5.9 
2014,2,영산포-1,12.25 ,5.4 ,8.9 ,14.8 ,5.8 ,9.4 ,21.1 ,597 ,7.145 ,0.086 ,6.1 
2014,3,영산포-1,98.02 ,9.0 ,8.2 ,12.0 ,6.0 ,8.1 ,19.5 ,541 ,7.921 ,0.106 ,7.2 
2014,4,영산포-1,63.41 ,15.5 ,7.9 ,9.5 ,4.4 ,7.5 ,14.4 ,421 ,4.859 ,0.116 ,5.8 
2014,5,영산포-1,24.27 ,20.7 ,7.9 ,7.7 ,3.9 ,7.4 ,29.7 ,378 ,4.334 ,0.133 ,6.0 
2014,6,영산포-1,27.48 ,24.2 ,7.8 ,7.1 ,6.2 ,10.1 ,31.6 ,330 ,3.639 ,0.133 ,7.9 
2014,7,영산포-1,45.43 ,25.8 ,7.8 ,6.9 ,5.6 ,10.7 ,32.6 ,277 ,3.448 ,0.163 ,7.1 
2014,8,영산포-1,121.99 ,24.6 ,7.4 ,7.6 ,3.2 ,6.7 ,27.7 ,136 ,2.257 ,0.174 ,4.3 
2014,9,영산포-1,48.36 ,24.2 ,7.7 ,9.1 ,3.3 ,6.6 ,22.9 ,197 ,2.465 ,0.120 ,4.8 
2014,10,영산포-1,26.85 ,19.4 ,7.4 ,7.3 ,3.1 ,5.9 ,25.8 ,224 ,2.750 ,0.126 ,4.4 
2014,11,영산포-1,90.24 ,12.7 ,7.1 ,9.7 ,3.0 ,5.7 ,27.7 ,299 ,4.183 ,0.128 ,4.2 
2014,12,영산포-1,43.85 ,9.8 ,7.2 ,10.7 ,3.6 ,6.2 ,28.5 ,241 ,3.744 ,0.141 ,4.2 
2015,1,영산포-1,41.92 ,4.5 ,7.4 ,14.3 ,4.0 ,5.7 ,15.9 ,383 ,5.134 ,0.099 ,4.3 
2015,2,영산포-1,25.26 ,4.4 ,7.3 ,13.9 ,4.6 ,6.6 ,14.3 ,356 ,5.714 ,0.096 ,4.8 
2015,3,영산포-1,37.00 ,9.1 ,7.7 ,13.2 ,5.6 ,8.3 ,20.5 ,377 ,6.029 ,0.103 ,5.8 
2015,4,영산포-1,153.82 ,15.1 ,7.5 ,8.9 ,5.5 ,7.5 ,16.6 ,319 ,4.748 ,0.110 ,5.6 
2015,5,영산포-1,67.53 ,20.4 ,7.2 ,8.1 ,3.6 ,6.5 ,21.2 ,233 ,3.242 ,0.109 ,5.0 
2015,6,영산포-1,98.94 ,24.1 ,7.0 ,6.7 ,5.5 ,8.2 ,25.6 ,278 ,3.725 ,0.103 ,6.7 
2015,7,영산포-1,179.48 ,25.8 ,7.4 ,6.9 ,3.9 ,7.5 ,21.9 ,201 ,2.928 ,0.139 ,5.4 
2015,8,영산포-1,145.93 ,27.7 ,7.3 ,5.3 ,4.2 ,8.2 ,21.6 ,285 ,3.431 ,0.190 ,5.8 
