³â¿ù,Ã¢³ç_TN,Ã¢³ç_EC,È¸Ãµ2_1_TN,È¸Ãµ2_1_EC
201201,4.579 ,448 ,3.217 ,290 
201202,3.652 ,405 ,2.851 ,294 
201203,4.720 ,496 ,2.208 ,267 
201204,3.580 ,341 ,1.891 ,143 
201205,2.780 ,283 ,1.575 ,174 
201206,3.097 ,388 ,1.517 ,216 
201207,2.529 ,234 ,1.759 ,165 
201208,3.138 ,221 ,1.571 ,163 
201209,3.012 ,155 ,1.858 ,120 
201210,3.639 ,273 ,2.058 ,194 
201211,3.448 ,388 ,2.587 ,213 
201212,3.901 ,292 ,3.041 ,220 
201301,4.117 ,354 ,3.018 ,191 
201302,3.746 ,342 ,2.746 ,161 
201303,3.398 ,307 ,2.387 ,147 
201304,3.008 ,330 ,1.572 ,176 
201305,2.492 ,354 ,1.648 ,186 
201306,2.489 ,289 ,1.599 ,211 
201307,2.780 ,228 ,1.705 ,198 
201308,2.223 ,262 ,1.509 ,214 
201309,2.943 ,316 ,1.598 ,231 
201310,2.699 ,287 ,1.747 ,210 
201311,3.429 ,437 ,2.387 ,249 
201312,4.004 ,471 ,2.715 ,296 
201401,4.357 ,504 ,3.320 ,306 
201402,4.790 ,424 ,2.786 ,272 
201403,4.838 ,576 ,2.435 ,280 
201404,3.347 ,418 ,1.404 ,212 
201405,1.972 ,246 ,1.276 ,192 
201406,2.949 ,410 ,1.253 ,197 
201407,1.918 ,364 ,1.235 ,199 
201408,2.886 ,287 ,2.038 ,97 
201409,3.366 ,272 ,1.835 ,195 
201410,3.122 ,317 ,1.697 ,202 
201411,2.966 ,301 ,2.111 ,193 
201412,3.399 ,371 ,2.535 ,206 
201501,3.936 ,406 ,2.923 ,276 
201502,3.926 ,434 ,2.926 ,274 
201503,3.668 ,374 ,2.086 ,211 
201504,2.848 ,311 ,1.477 ,161 
201505,1.965 ,254 ,1.264 ,151 
201506,2.179 ,396 ,1.220 ,212 
201507,2.245 ,261 ,1.354 ,174 
201508,1.934 ,304 ,1.061 ,192 
201509,2.879 ,403 ,1.267 ,215 
201510,3.256 ,551 ,1.435 ,233 
201511,3.680 ,591 ,2.104 ,228 
201512,3.357 ,522 ,2.754 ,322 
