채수일자,영산포_1 EC,영산포_1 TN,고막원천2_1 EC,고막원천2_1 TN
2012.01.10,457,8.25,321,3.697
2012.01.19,447,8.066,307,3.915
2012.01.26,455,6.546,311,3.373
2012.02.03,474,7.82,327,3.224
2012.02.07,448,7.996,313,3.323
2012.02.13,470,8.836,321,3.396
2012.02.23,481,8.186,353,3.351
2012.03.06,493,9.977,313,5.71
2012.03.12,379,6.004,287,4.647
2012.03.26,343,6.404,253,5.896
2012.04.04,238,5.588,225,5.017
2012.04.12,243,4.854,234,4.486
2012.04.16,253,4.35,259,3.044
2012.05.02,223,3.333,200,3.09
2012.05.10,236,3.035,230,2.717
2012.05.18,258,3.573,262,1.53
2012.05.22,322,4.206,277,1.51
2012.05.31,299,3.874,223,2.714
2012.06.07,310,3.957,233,2.923
2012.06.11,347,4.921,226,2.738
2012.06.21,339,4.233,241,2.579
2012.06.26,330,3.617,274,2.072
2012.07.05,340,4.148,261,3.953
2012.07.10,272,4.408,225,3.682
2012.07.20,128,2.644,132,2.764
2012.07.23,152,2.776,178,3.144
2012.08.09,233,2.117,177,1.78
2012.08.13,271,2.782,165,1.647
2012.08.21,172,1.966,180,2.389
2012.08.29,105,1.751,119,2.04
2012.09.03,128,2.234,150,3.08
2012.09.12,124,2.193,161,2.616
2012.09.20,100,1.885,134,2.493
2012.09.26,136,1.99,183,2.381
2012.10.09,231,2.734,218,1.626
2012.10.18,234,3.031,197,1.525
2012.10.23,252,3.457,104,2.685
2012.10.29,313,4.103,172,2.93
2012.11.07,261,3.511,214,2.755
2012.11.13,247,2.974,223,2.773
2012.11.19,312,4.254,233,3.11
2012.11.29,327,4.183,232,2.788
2012.12.05,334,4.273,177,3.079
2012.12.11,363,4.364,263,3.495
2013.01.09,328,4.778,286,3.33
2013.01.14,344,5.402,263,3.395
2013.01.22,389,5.932,252,4.147
2013.01.31,378,6.277,222,3.675
2013.02.07,314,5.755,190,3.702
2013.02.13,251,4.297,204,3.45
2013.02.19,251,4.323,225,3.823
2013.03.06,280,5.142,241,2.821
2013.03.12,277,4.432,236,2.367
2013.03.18,315,5.29,191,4.984
2013.03.28,199,3.164,209,3.25
2013.04.02,203,3.506,220,2.619
2013.04.09,247,4.213,221,2.4
2013.04.18,291,4.593,242,2.137
2013.04.24,323,5.623,223,2.686
2013.05.02,341,5.182,254,2.384
2013.05.06,360,5.653,210,2.283
2013.05.14,329,4.613,261,1.748
2013.05.22,351,4.9,236,2.849
2013.05.27,355,4.494,209,2.424
2013.06.04,195,3.663,205,3.858
2013.06.10,230,3.76,206,2.201
