site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
담양,Jan-17,8,13.4,2.2,3.6,11,4.469,0.285,2.2,6.3,359,956,4.37,0.416,3.104,0.257,0.257,10.6,221,51.16
담양,Feb-17,7.6,12.8,2.8,4.6,8.1,4.373,0.335,2.7,5.8,292,952,4.142,0.52,2.799,0.306,0.303,13.5,126,43.52
담양,Mar-17,8.1,12.9,2.7,5.1,9.1,3.661,0.319,3.1,13,278,1650,3.421,0.215,2.352,0.213,0.21,24.2,45,58.43
담양,Apr-17,7.8,11.8,3.6,7.4,14.9,3.761,0.302,4.5,16.8,259,27400,3.705,0.303,2.433,0.273,0.256,55.7,192,185.56
담양,May-17,7.6,12.1,1.6,4.3,9.2,2.366,0.08,2.9,18.6,157,4375,2.177,0.121,1.673,0.058,0.047,17.8,101,105.54
담양,Jun-17,7.7,11.6,1.6,4.6,6.5,2.723,0.079,2.9,22.9,200,3215,2.646,0.085,1.951,0.059,0.05,16.2,314,106.73
담양,Jul-17,7.5,8.7,1.6,6.8,10.7,3.415,0.15,3.6,26.4,244,6825,3.236,0.232,2.157,0.118,0.107,8.9,2185,287.76
담양,Aug-17,7.6,8.6,0.8,5.1,11.1,2.1,0.104,3.2,25.3,174,9475,1.988,0.094,1.342,0.087,0.078,8.4,5940,86.27
담양,Sep-17,7.3,9.2,0.7,3.6,6.3,2.232,0.068,2.2,23.2,224,5445,2.02,0.14,1.524,0.058,0.05,9.6,3190,243.14
담양,Oct-17,7.7,11.3,1.5,4.6,5.9,2.633,0.15,2.1,18.9,281,1073,2.576,0.073,1.855,0.124,0.105,37.4,670,207.29
담양,Nov-17,7.7,13.2,1.6,4.5,5.6,2.813,0.151,2.5,12.8,382,3313,2.751,0.086,2.003,0.117,0.112,35.7,175,32.43
담양,Dec-17,7.7,12.9,2.3,5.3,6,3.758,0.22,3.2,6.3,363,2518,3.659,0.117,2.507,0.2,0.192,24.2,339,45.34
담양,Jan-18,7.4,13.7,2.2,4.9,3.8,4.328,0.3,2.6,7.3,338,2250,3.923,0.13,3.071,0.269,0.244,30.1,445,13.64
