yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC ,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
2017/01,7.6 ,13.3 ,3.4 ,6.4 ,8.7 ,5.445 ,0.116 ,4.3 ,5.8 ,382 ,5703 ,5.126 ,1.269 ,2.949 ,0.066 ,0.050 ,34.9 ,1196 ,54.55 
2017/02,7.9 ,13.3 ,4.8 ,8.2 ,14.7 ,6.298 ,0.140 ,5.7 ,6.2 ,389 ,24116 ,5.880 ,1.925 ,2.980 ,0.067 ,0.051 ,67.7 ,7362 ,44.32 
2017/03,7.8 ,12.4 ,5.3 ,9.0 ,14.6 ,6.254 ,0.143 ,6.1 ,10.5 ,397 ,24181 ,5.873 ,2.492 ,2.268 ,0.069 ,0.047 ,59.3 ,3202 ,58.74 
2017/04,7.7 ,11.2 ,6.1 ,10.1 ,14.4 ,5.158 ,0.139 ,6.8 ,16.7 ,348 ,32565 ,4.783 ,1.845 ,1.930 ,0.080 ,0.053 ,75.4 ,5890 ,188.64 
2017/05,7.8 ,11.0 ,4.7 ,10.8 ,12.9 ,5.175 ,0.109 ,7.2 ,21.8 ,383 ,5830 ,4.790 ,1.898 ,1.742 ,0.057 ,0.031 ,40.0 ,490 ,108.91 
2017/06,7.7 ,9.9 ,5.5 ,13.1 ,17.5 ,4.268 ,0.107 ,8.2 ,24.6 ,340 ,16582 ,3.940 ,1.300 ,1.569 ,0.051 ,0.023 ,52.5 ,2618 ,117.80 
2017/07,7.3 ,6.4 ,3.8 ,9.3 ,14.7 ,3.511 ,0.183 ,6.1 ,27.4 ,249 ,24105 ,3.362 ,1.173 ,1.445 ,0.131 ,0.108 ,22.5 ,10574 ,283.58 
2017/08,7.4 ,7.3 ,3.8 ,8.5 ,21.3 ,3.077 ,0.155 ,5.4 ,27.6 ,209 ,86016 ,2.896 ,1.072 ,1.163 ,0.102 ,0.087 ,31.1 ,63565 ,71.44 
2017/09,7.4 ,8.9 ,3.0 ,7.3 ,14.2 ,2.754 ,0.101 ,4.8 ,24.0 ,230 ,20998 ,2.558 ,0.556 ,1.387 ,0.062 ,0.049 ,37.8 ,11303 ,240.25 
2017/10,7.6 ,9.8 ,3.6 ,7.0 ,10.7 ,3.694 ,0.090 ,4.5 ,19.3 ,324 ,4824 ,3.551 ,0.946 ,1.818 ,0.050 ,0.031 ,42.4 ,2725 ,211.27 
