site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
담양,Mar-17,8.1,12.9,2.7,5.1,9.1,3.661,0.319,3.1,13,278,1650,3.421,0.215,2.352,0.213,0.21,24.2,45,58.43
담양,Apr-17,7.8,11.8,3.6,7.4,14.9,3.761,0.302,4.5,16.8,259,27400,3.705,0.303,2.433,0.273,0.256,55.7,192,185.56
담양,May-17,7.6,12.1,1.6,4.3,9.2,2.366,0.08,2.9,18.6,157,4375,2.177,0.121,1.673,0.058,0.047,17.8,101,105.54
담양,Mar-18,7.5,12.9,2.1,6.1,10.7,3.182,0.139,3.7,12.4,186,5055,3.158,0.107,2.393,0.115,0.105,27,458,7.99
담양,Apr-18,7.6,11.9,1.9,5.4,15.8,3.055,0.134,3,16.5,217,17825,2.978,0.149,2.133,0.108,0.097,20.9,6523,9.05
담양,May-18,7.6,11.4,1.2,4.6,9.6,3.278,0.097,3,21.3,202,27050,3.164,0.183,2.254,0.081,0.073,11.3,655,37.53
담양,Mar-19,7.5,11.6,3.2,6.2,7,4.057,0.403,3.3,12.1,265,204175,3.827,0.221,2.611,0.347,0.327,29,523,113.55
담양,Apr-19,7.9,11.7,1.4,4.6,7.1,1.682,0.102,2.4,12.7,139,188446,1.601,0.179,0.967,0.08,0.068,8.9,842,126.33
담양,May-19,7.8,12.2,2.6,6.9,9.7,2.665,0.196,4,18.2,196,212375,2.522,0.328,1.548,0.149,0.143,8.6,13550,85.52
우치,Mar-17,7.7,13.6,4,6.6,13.4,2.255,0.091,5.8,10.1,366,1150,2.108,0.062,1.553,0.036,0.014,42.5,173,58.43
우치,Apr-17,8.5,11.4,5.9,11,18.1,1.422,0.109,7.8,15.9,329,8188,0.963,0.024,0.642,0.024,0.006,110.6,150,185.56
우치,May-17,7.8,10.9,5.8,13.4,21.2,1.626,0.138,9.1,20.6,364,610,1.282,0.124,0.471,0.034,0.01,71.4,56,105.54
우치,Mar-18,7.2,10.7,3.5,7.4,15.6,2.59,0.108,5.5,11,261,11450,2.482,0.202,1.681,0.051,0.028,34.2,1195,7.99
우치,Apr-18,7.6,9.8,2.5,6.6,9.2,2.231,0.094,5,15.6,272,4640,1.849,0.064,1.265,0.04,0.023,35.7,380,9.05
우치,May-18,7.4,9.2,2.7,7.2,11.6,2.233,0.131,5.9,20.2,253,6525,2.166,0.252,1.316,0.086,0.058,15.9,433,37.53
우치,Mar-19,8.4,12.5,4.4,9,17,1.753,0.17,7.3,9.5,337,2550,1.542,0.036,0.971,0.039,0.014,77,346,113.55
