site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
담양,2017/06,7.7,11.6,1.6,4.6,6.5,2.723,0.079,2.9,22.9,200,3215,2.646,0.085,1.951,0.059,0.05,16.2,314,106.73 
담양,2017/07,7.5,8.7,1.6,6.8,10.7,3.415,0.15,3.6,26.4,244,6825,3.236,0.232,2.157,0.118,0.107,8.9,2185,287.76 
담양,2017/08,7.6,8.6,0.8,5.1,11.1,2.1,0.104,3.2,25.3,174,9475,1.988,0.094,1.342,0.087,0.078,8.4,5940,86.27 
담양,2018/06,7.3,10.4,0.8,4,5.8,2.146,0.075,2.8,22.4,187,5075,2.113,0.113,1.4,0.063,0.057,10.7,101,38.62 
담양,2018/07,7.1,10.7,0.9,4.9,12.8,2.424,0.121,3,24.7,177,12073,2.36,0.137,1.632,0.1,0.095,11.7,1103,217.90 
담양,2018/08,7,8.1,0.6,4,3.6,1.473,0.08,2.3,26.1,182,6150,1.439,0.087,0.968,0.065,0.058,8.8,1558,261.09 
담양,2019/06,7.4,9.5,0.9,4.9,6.3,2.105,0.096,2.8,19.8,169,16525,2.047,0.184,1.286,0.079,0.067,3.4,1435,212.38 
담양,2019/07,7.3,10.1,1.1,4.9,5.1,2.526,0.111,3,22.1,214,219450,2.396,0.315,1.501,0.102,0.09,5.5,24515,93.10 
담양,2019/08,7.3,9.1,1.1,4.2,3.9,3.003,0.123,3.2,25.6,223,150500,2.842,0.224,1.933,0.111,0.097,8,37710,382.73 
우치,2017/06,6.9,7.3,3.9,12.7,12.9,2.142,0.121,9.5,23.7,332,1158,2.047,0.286,0.919,0.058,0.026,32,285,106.73 
우치,2017/07,7.3,6.6,2.3,8.4,10.3,1.971,0.118,6.2,26.9,225,7050,1.907,0.162,1.289,0.072,0.047,14.1,1378,287.76 
우치,2017/08,7.3,7.5,2.5,7.1,21.5,1.404,0.112,5.3,26.5,183,15600,1.365,0.091,0.953,0.076,0.064,20.4,2218,86.27 
우치,2018/06,7.1,6.9,2.9,10.8,8.7,1.858,0.115,8.5,24.7,255,2650,1.825,0.12,0.81,0.079,0.05,13.9,278,38.62 
우치,2018/07,7.5,8,3.6,9.6,13.8,1.626,0.125,6.8,27.3,276,5040,1.557,0.039,0.85,0.089,0.074,29.7,1000,217.90 
우치,2018/08,7.2,7.4,2.5,8.4,9.4,1.399,0.112,6.4,26.9,305,7125,1.358,0.028,0.83,0.077,0.05,17.8,1138,261.09 
우치,2019/06,6.9,8.6,3.5,9.8,10.5,1.82,0.144,7.9,23.2,252,2900,1.762,0.177,0.834,0.073,0.053,17,941,212.38 
우치,2019/07,7.2,7.7,2.6,7.5,10.5,1.856,0.102,6.5,25.5,216,17900,1.807,0.103,1.14,0.07,0.064,9.2,3196,93.10 
우치,2019/08,7,7.8,2.6,7.9,6.7,1.13,0.089,7,27.1,219,11975,1.016,0.039,0.648,0.051,0.04,20.6,1813,382.73 
광주1,2017/06,8.1,10.4,5,12.3,19.1,2.192,0.102,6.9,24.3,245,30750,1.991,0.266,0.685,0.057,0.029,53.7,5750,106.73 
광주1,2017/07,7.9,6.9,3.1,9.1,13.7,2.301,0.156,5.1,27.3,217,70750,2.113,0.378,0.881,0.119,0.095,14.2,29465,287.76 
광주1,2017/08,7.7,7.9,2.9,8.4,30.7,1.697,0.138,4.4,27.3,161,266500,1.54,0.237,0.738,0.098,0.081,24.1,208250,86.27 
광주1,2018/06,7.8,9.3,3.2,10.2,22.2,1.731,0.105,5.8,25.6,251,14400,1.602,0.118,0.563,0.05,0.027,66,1313,38.62 
광주1,2018/07,7.7,10.3,2.7,9.1,31,1.676,0.139,4.5,26.8,182,13850,1.547,0.067,0.807,0.09,0.073,55.9,3132,217.90 
광주1,2018/08,8,8.8,2.6,7.9,17,1.054,0.14,4.4,28.7,176,7000,0.928,0.047,0.425,0.103,0.078,47.4,6125,261.09 
광주1,2019/06,7.8,8.4,3.3,10.3,13.3,2.04,0.095,6,23.6,207,13495,1.957,0.169,0.792,0.068,0.04,31.3,2265,212.38 
광주1,2019/07,7.9,9.6,2.6,9.2,16.5,2.075,0.12,5.2,24.4,196,23525,1.964,0.187,0.955,0.083,0.062,23.7,3400,93.10 
광주1,2019/08,8.3,9,2.9,8.8,31.2,1.685,0.144,5.5,27.5,188,106875,1.6,0.115,0.784,0.104,0.082,26.3,76490,382.73 
광주2,2017/06,7.9,11.5,7.6,13.6,17.7,7.221,0.113,7.4,24.7,352,42325,6.485,3.318,1.735,0.054,0.022,67.4,8450,116.10 
광주2,2017/07,7.6,7.1,5.3,9.6,14.1,4.371,0.175,5.2,27.1,269,78000,4.249,1.908,1.375,0.119,0.099,15.1,40250,301.40 
광주2,2017/08,7.5,8.1,4.5,9.6,30.3,5.23,0.223,4.9,27,210,263500,4.98,2.715,1.265,0.168,0.149,21.8,221750,81.00 
광주2,2018/06,7.3,9.8,5,9.7,14.7,5.33,0.114,5.6,25.8,303,11800,5.135,3.187,0.799,0.062,0.038,47.1,3300,42.10 
광주2,2018/07,7.3,8.2,8,10.2,21,6.915,0.208,4.8,26.8,321,243000,6.645,4.75,0.872,0.148,0.133,31.3,83251,211.70 
광주2,2018/08,7.6,8.8,6.6,10.2,18.3,7.542,0.187,5.3,29.3,357,146300,7.281,5.504,0.948,0.144,0.11,38.7,53150,273.80 
광주2,2019/06,7.6,8.9,8.9,11.4,13.1,6.385,0.112,6.1,24.1,335,24900,6.139,3.942,0.757,0.078,0.046,17.8,5950,222.40 
광주2,2019/07,7.4,8.1,7.8,10.6,15.4,5.356,0.194,6.1,25.6,272,106750,5.213,2.642,0.867,0.152,0.128,19.4,29400,84.50 
광주2,2019/08,7.6,8,7.6,9.6,22.7,6.017,0.194,6.6,27.5,315,204700,5.744,3.341,0.954,0.136,0.111,26.4,61250,397.10 
광주2-1,2017/06,8.2,13,8.2,15.1,21,8.115,0.184,7.2,25.5,348,118975,7.463,3.81,1.792,0.098,0.066,105.3,16055,116.10 
광주2-1,2017/07,7.5,6.1,6.4,11,13.5,5.742,0.516,6.1,27.9,283,101000,5.491,2.923,1.238,0.403,0.364,19,47900,301.40 
광주2-1,2017/08,7.6,7.4,5.3,8,25.8,4.591,0.216,4.8,28.1,211,392500,4.24,2.064,1.127,0.156,0.134,45.9,294500,81.00 
광주2-1,2018/06,7.3,11.5,4.5,10,26.2,7.381,0.153,5.7,25.7,342,17700,7.129,4.754,0.989,0.074,0.053,52.7,4300,42.10 
광주2-1,2018/07,7.1,9,5.6,9.3,24.9,7.084,0.172,5.2,26.5,320,53250,6.919,4.855,0.977,0.106,0.091,41.7,26506,211.70 
광주2-1,2018/08,7.6,9.9,5.6,10.2,23.1,7.556,0.181,5.2,29.1,351,102000,7.201,5.148,1.004,0.133,0.094,59.4,54650,273.80 
광주2-1,2019/06,7.5,8.4,7,11.7,11.7,9.042,0.243,6.4,23.6,377,62650,8.266,5.68,0.662,0.159,0.112,22.6,29350,222.40 
광주2-1,2019/07,7.1,7,5.8,9.7,16.6,6.302,0.175,5.1,25.1,264,154600,5.895,3.53,0.976,0.13,0.111,17.6,40450,84.50 
광주2-1,2019/08,7.2,7.4,5.3,8.7,13.7,6.871,0.137,5.5,27.4,321,82190,6.629,3.824,1.059,0.091,0.066,32.6,58160,397.10 
광산,2017/06,7.1,8,6.9,14.1,13.7,4.55,0.106,10.3,24.1,351,100,4.304,1.528,1.832,0.039,0.006,55.3,52,116.10 
광산,2017/07,6.4,4.6,3.9,9.1,10.3,3.847,0.176,7.4,27.2,274,9775,3.699,1.711,1.475,0.123,0.101,20.5,2865,301.40 
광산,2017/08,6.6,3.3,3.8,8.8,13.7,4.244,0.181,6.8,27.5,262,23500,4.157,2.362,1.256,0.121,0.104,13.9,11600,81.00 
