site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
담양,2017/09,7.3,9.2,0.7,3.6,6.3,2.232,0.068,2.2,23.2,224,5445,2.02,0.14,1.524,0.058,0.05,9.6,3190,243.14 
담양,2017/10,7.7,11.3,1.5,4.6,5.9,2.633,0.15,2.1,18.9,281,1073,2.576,0.073,1.855,0.124,0.105,37.4,670,207.29 
담양,2017/11,7.7,13.2,1.6,4.5,5.6,2.813,0.151,2.5,12.8,382,3313,2.751,0.086,2.003,0.117,0.112,35.7,175,32.43 
담양,2018/09,7.1,8.7,0.6,3.5,3.1,2.861,0.084,1.9,22.9,199,5767,2.782,0.118,2.238,0.069,0.061,8.2,2467,109.23 
담양,2018/10,7.6,11.3,1,3.6,3.2,2.319,0.125,2.2,17.6,240,25800,2.2,0.089,1.535,0.112,0.105,8.7,7100,79.99 
담양,2018/11,7.6,14,1.3,3.7,2.2,2.584,0.124,2.3,12.3,257,12225,2.469,0.098,1.795,0.102,0.091,6.7,3753,3.01 
담양,2019/09,7.5,9.3,0.9,4.5,3.4,1.939,0.133,2.6,22.7,205,28075,1.832,0.131,1.379,0.122,0.101,4.2,4071,125.67 
담양,2019/10,7.4,12.5,0.8,3.7,2.8,2.511,0.083,2.1,17.9,222,255000,2.342,0.097,2.124,0.065,0.064,3.1,31455,128.67 
담양,2019/11,7.5,11.9,2.3,6.9,12.2,1.741,0.102,3.3,12.9,304,492500,1.607,0.174,1.061,0.077,0.063,9.1,158550,46.06 
우치,2017/09,7.2,8.4,1.7,5.8,6.7,1.412,0.08,4.5,22.4,221,5300,1.384,0.038,0.977,0.054,0.041,10.7,1438,243.14 
우치,2017/10,7.8,11.6,1.6,5.5,3.7,1.813,0.071,4.2,17.2,346,2500,1.802,0.092,1.277,0.045,0.03,17.9,275,207.29 
우치,2017/11,7.9,11.9,4.1,7.3,9.9,1.917,0.07,6,8.8,493,895,1.722,0.192,1.106,0.02,0.006,77.5,73,32.43 
우치,2018/09,7.5,9.7,2.1,5.3,7.4,1.922,0.082,4.5,23.1,182,8875,1.893,0.031,1.032,0.05,0.036,18.5,1570,109.23 
우치,2018/10,8,11.3,2,5.8,5.6,1.969,0.078,5.3,16.2,272,8820,1.926,0.032,1.503,0.045,0.03,13.8,1136,79.99 
우치,2018/11,7.5,10.4,1.8,5.8,5.5,2.035,0.088,5.8,11.2,305,5075,1.99,0.013,1.539,0.047,0.038,18.1,310,3.01 
우치,2019/09,7.2,8.2,1.6,5.7,4.2,1.729,0.077,4.4,23.2,236,9880,1.666,0.037,1.271,0.06,0.057,6.5,3226,125.67 
우치,2019/10,7.6,10.3,1.3,4.6,4.1,1.968,0.048,3.3,16.8,252,8325,1.944,0.031,1.658,0.033,0.024,10.1,2930,128.67 
우치,2019/11,7.8,9.6,3.4,7,11.4,1.974,0.077,6.5,12.6,318,6865,1.847,0.05,1.442,0.037,0.026,50.2,2230,46.06 
광주1,2017/09,8,9.3,1.9,6.7,15.3,1.082,0.079,3.8,24.4,188,25550,0.978,0.043,0.508,0.053,0.04,37.4,8435,243.14 
광주1,2017/10,8.3,10.5,3,6.2,7.8,1.412,0.067,3.3,19,281,8000,1.253,0.049,0.685,0.035,0.022,46.3,3725,207.29 
광주1,2017/11,8.2,13.5,4.6,7.5,9.3,2.115,0.103,4.1,11.2,339,36650,1.947,0.402,0.878,0.04,0.018,58.2,19525,32.43 
광주1,2018/09,7.8,8.9,0.8,4.8,7.3,1.855,0.101,2.9,24.7,175,7800,1.816,0.061,1.185,0.071,0.05,35.9,2417,109.23 
광주1,2018/10,8,12.4,2.8,6,9.6,1.893,0.1,3.6,17.7,283,11720,1.783,0.082,1.048,0.064,0.032,42.7,3380,79.99 
광주1,2018/11,7.9,15,3.3,6.1,9.4,1.993,0.104,3.8,11.3,289,22875,1.87,0.078,1.134,0.05,0.02,47.5,3020,3.01 
광주1,2019/09,7.8,9.4,1.2,6.7,5.9,1.805,0.117,3.6,23.8,202,13000,1.707,0.077,1.126,0.094,0.071,12,3120,125.67 
광주1,2019/10,8,12.7,1.6,5.6,7.2,2.095,0.078,3.3,18.8,209,12550,1.921,0.065,1.594,0.049,0.037,18.9,3005,128.67 
광주1,2019/11,7.9,11.2,2.9,8.5,18.3,2.508,0.118,4.3,13.3,256,170175,2.33,0.414,1.405,0.058,0.046,17.3,23885,46.06 
광주2,2017/09,7.3,7.5,3.7,7.5,13.6,5.886,0.128,4.1,24.3,361,144000,5.5,2.389,2.166,0.089,0.067,23.4,80350,251.30 
광주2,2017/10,7.4,9,4.7,7.5,7.2,6.957,0.094,3.8,20.5,414,31350,6.662,3.205,2.39,0.049,0.034,33.9,21775,216.70 
광주2,2017/11,7.5,10.9,5.4,8.7,8.3,8.074,0.089,5.3,13.8,479,4875,7.708,3.185,3.202,0.029,0.006,53.9,2440,31.50 
광주2,2018/09,7.3,7.8,4.1,6.2,10.4,5.072,0.166,3.6,24.7,262,54000,5.029,2.862,1.188,0.118,0.095,28.1,18267,108.80 
광주2,2018/10,7.4,11.4,5.1,7.1,9.8,7.143,0.192,4.2,18.9,393,26920,7.038,3.638,1.813,0.144,0.11,35.2,12300,85.40 
광주2,2018/11,7.7,9.6,7.9,8.4,10.3,9.608,0.255,5.1,14.7,442,82050,9.307,6.539,1.513,0.168,0.138,33.4,29550,2.10 
광주2,2019/09,7.4,9.2,5.7,7.4,10.1,5.499,0.13,4.1,24.3,280,45850,5.348,2.948,1.223,0.101,0.073,11.2,25050,129.70 
광주2,2019/10,7.4,11.4,5,6.8,12.1,5.346,0.071,3.5,19.6,292,12950,5.056,2.249,2.118,0.05,0.03,19.3,3600,125.20 
광주2,2019/11,7.4,9.8,9.8,12,19.6,9.085,0.266,5.3,15.4,398,247050,8.761,5.656,1.918,0.181,0.167,30.2,142775,47.20 
광주2-1,2017/09,7.6,9.5,3.6,8.4,19.8,5.081,0.101,4.6,24.7,330,41375,4.773,1.734,1.963,0.055,0.038,70.3,35325,251.30 
광주2-1,2017/10,7.6,10.5,4.7,8.1,10.1,7.089,0.113,4.7,20.7,410,9700,6.858,2.235,2.601,0.056,0.021,70.4,4150,216.70 
광주2-1,2017/11,7.3,10.8,5.3,9.2,10.9,9.258,0.1,5.4,13.9,518,23350,9.001,3.908,3.606,0.036,0.01,68.4,7425,31.50 
광주2-1,2018/09,7.2,8.6,2.1,5.9,13.1,3.956,0.148,3.4,24.8,253,24667,3.868,1.887,1.241,0.101,0.08,41.4,16133,108.80 
광주2-1,2018/10,7.3,11.3,4.7,7.3,10.3,7.284,0.176,4.3,18.6,397,28586,7.207,3.738,1.873,0.123,0.097,36.2,12540,85.40 
광주2-1,2018/11,7.5,10.4,7.1,8,11.4,8.897,0.233,5.6,14.1,433,62600,8.431,5.302,1.598,0.143,0.093,59.2,24463,2.10 
광주2-1,2019/09,7.2,7.8,4.3,7.6,8.4,6.367,0.179,4.3,23.9,294,202500,6.274,3.518,1.276,0.138,0.106,14,98150,129.70 
광주2-1,2019/10,7.3,10.7,2.8,6.7,7.2,6.96,0.072,3.9,19.2,318,18350,6.453,2.819,2.6,0.048,0.027,20.4,4000,125.20 
광주2-1,2019/11,7.3,10.3,6.4,10.2,16.3,9.148,0.146,5,15,423,31300,8.142,4.589,2.161,0.097,0.083,31,12375,47.20 
광산,2017/09,7,8.4,3.7,7.9,10.5,3.163,0.105,5.9,23.7,272,10475,2.924,0.858,1.586,0.053,0.039,38.9,3185,251.30 
광산,2017/10,7.1,8.4,4.9,8.3,10.1,5.166,0.091,6.6,18.9,388,2075,4.915,1.926,2.243,0.049,0.031,48.9,630,216.70 
광산,2017/11,7.6,12.3,5.3,9.8,13.7,6.34,0.087,7.4,12.1,480,1311,6.181,2.229,3.181,0.034,0.008,48.1,172,31.50 
광산,2018/09,7.3,6.9,4.8,8.7,10.3,4.876,0.19,6.7,24.5,294,100750,4.523,2.516,1.399,0.126,0.108,28.5,57875,108.80 
광산,2018/10,7.3,8.7,4.9,7.9,9.5,4.942,0.158,7.4,18.4,336,29620,4.837,2.397,2.12,0.091,0.07,33.8,9980,85.40 
광산,2018/11,7.8,9.7,5.1,9.7,10.6,5.688,0.209,8.6,13.4,415,41175,5.125,2.488,2.168,0.082,0.066,56.9,22395,2.10 
광산,2019/09,7.4,7.8,3.8,7.1,8.8,3.411,0.129,4.9,24.5,243,51880,3.275,1.138,1.676,0.085,0.073,28.4,16658,129.70 
광산,2019/10,7.8,10.2,3.9,6.5,10.3,4.156,0.063,5.2,19.6,291,3250,4.07,1.075,2.453,0.028,0.016,46.8,883,125.20 
광산,2019/11,7.7,10.3,5,8.5,8.7,6.361,0.086,7.7,14.9,419,2155,5.996,2.714,2.643,0.068,0.053,52,300,47.20 
나주,2017/09,7.7,11.6,4.7,7.9,10.6,2.674,0.089,6.1,24.2,236,8550,2.588,0.46,1.253,0.049,0.037,65.3,1675,244.67 
나주,2017/10,7.2,9.2,4.2,7.2,7.5,4.097,0.078,5.1,19.6,397,1010,4.006,1.08,2.277,0.037,0.025,49.6,340,211.61 
나주,2017/11,6.9,12.7,5,8.7,13.2,5.516,0.086,6.7,11.9,410,165,5.188,1.439,3.104,0.038,0.016,84.2,50,43.56 
나주,2018/09,7.6,10.2,4.2,8,10.8,3.203,0.106,5.5,23.9,249,9400,3.189,0.576,1.239,0.064,0.052,56.1,5490,114.74 
나주,2018/10,7.8,10,4,7.4,9.9,3.558,0.145,6.3,18.4,286,21240,3.484,0.755,2.363,0.068,0.056,50.9,5044,66.50 
나주,2018/11,7.7,13,5.6,8.3,14.6,4.909,0.166,7.2,12.5,343,23775,4.746,1.756,2.389,0.051,0.04,56.3,4638,1.95 
나주,2019/09,7.4,9.4,4.2,6.9,9.2,3.222,0.128,5.3,23.1,238,19780,3.054,0.811,1.74,0.066,0.053,42.4,7220,134.11 
나주,2019/10,7.8,11.2,4,6.9,10.6,3.441,0.075,4.9,18.1,279,5400,3.351,0.551,2.299,0.042,0.03,49.4,1565,141.61 
나주,2019/11,7.6,11.2,4.8,7.6,7.8,5.353,0.08,6.5,12.8,399,1365,5.199,1.583,2.925,0.048,0.029,41.4,585,44.62 
영산포,2017/09,7.9,9,2.1,7.3,19,2.645,0.101,4.3,24.9,223,1065,2.327,0.312,1.346,0.063,0.051,43.8,580,244.67 
영산포,2017/10,7.8,10.4,3.4,6.8,12.2,3.789,0.083,3.7,20,301,1183,3.609,0.582,1.906,0.038,0.024,45.3,918,211.61 
영산포,2017/11,7.5,11,3,7.7,10.7,5.276,0.066,4.2,12.7,448,908,5.101,1.108,2.876,0.029,0.007,51.9,664,43.56 
영산포,2018/09,7.5,9.9,3,8.1,13.9,2.85,0.157,3.5,25.1,186,5867,2.62,0.412,1.476,0.084,0.062,88.1,3767,114.74 
영산포,2018/10,7.9,13.8,3.7,7.2,18.8,3.803,0.103,4.5,18.6,296,5700,3.639,0.413,2.232,0.052,0.051,98.4,3020,66.50 
영산포,2018/11,7.8,12.7,3.6,7,15.8,3.104,0.097,4.3,14.5,319,2963,2.968,0.726,1.62,0.048,0.019,56.1,571,1.95 
영산포,2019/09,7.7,10.6,3.2,8.1,13.6,2.776,0.152,4,24.4,188,1469,2.638,0.363,1.537,0.106,0.076,49.2,797,134.11 
영산포,2019/10,7.9,13.1,1.7,6.3,9.2,3.313,0.063,3.3,19.2,228,1688,3.175,0.39,2.351,0.041,0.027,24.4,870,141.61 
영산포,2019/11,8,12.9,3.5,8.5,11.5,5.21,0.068,4.1,14.9,365,788,4.717,1.118,2.881,0.029,0.011,36.9,445,44.62 
죽산,2017/09,7.4,10.3,4.9,10.1,19.9,2.228,0.147,6.4,23.9,189,8403,1.984,0.12,1.342,0.062,0.046,50,219,244.67 
죽산,2017/10,7.2,8.7,3.8,7.3,13.7,3.108,0.081,5.6,18.9,283,315,2.997,0.677,1.814,0.045,0.015,35.1,35,211.61 
죽산,2017/11,7.5,10,3.6,8.3,14.4,4.797,0.093,6.5,11.8,405,155,4.55,1.147,2.733,0.048,0.019,16.5,17,43.56 
죽산,2018/09,7.5,8,4.6,9.8,14,2.537,0.101,6.6,23.6,219,3220,2.478,0.256,1.515,0.058,0.046,51.7,368,114.74 
죽산,2018/10,8.2,11.2,3.8,7.7,21,2.975,0.116,6.8,18.3,258,1996,2.917,0.206,2.129,0.041,0.034,53.9,494,66.50 
죽산,2018/11,8.1,12.8,5.5,10.8,32.3,4.056,0.176,8.6,12.2,357,5275,3.699,0.88,2.497,0.036,0.028,82.9,688,1.95 
죽산,2019/09,7.7,8.3,3.8,7.2,13.8,2.608,0.137,4.9,24.1,198,8040,2.441,0.339,1.604,0.078,0.07,30.2,1970,134.11 
죽산,2019/10,8.3,11,3.5,6.2,8.9,3.111,0.068,4.6,19.6,240,3726,2.998,0.181,2.336,0.037,0.024,34.1,550,141.61 
죽산,2019/11,8.2,11.6,4.9,8.3,14.5,4.537,0.062,7.5,14.6,362,318,4.326,0.597,2.877,0.037,0.023,58.3,58,44.62 
영산포-1,2017/09,6.9,7.6,3.6,7.7,12.8,2.183,0.1,5.8,24,180,100,2.089,0.176,1.401,0.066,0.052,40.4,50,231.59
영산포-1,2017/10,7.4,8.8,3.5,7.1,11.8,2.886,0.078,5.4,18.8,272,300,2.812,0.545,1.755,0.045,0.019,32,30,211.69
영산포-1,2017/11,7.7,10.5,3.3,7.5,12.5,4.581,0.073,5.9,11.7,397,100,4.472,0.998,2.72,0.03,0.008,26.1,1,42.55
영산포-1,2018/09,7.3,7.5,4.2,7.4,18.7,2.585,0.095,5.8,24.3,194,1900,2.539,0.251,1.525,0.07,0.049,35.8,200,109.02
영산포-1,2018/10,8,9.9,3.7,7.6,16.7,2.898,0.128,6.9,18.4,253,130,2.778,0.219,2.122,0.044,0.03,54.6,10,77.04
영산포-1,2018/11,8.2,12.3,5.1,9.7,18,4.147,0.136,8.1,12.5,351,840,3.99,0.95,2.465,0.04,0.033,112.2,160,1.84
영산포-1,2019/09,7.6,7.8,3.2,7.1,11.4,2.399,0.12,5,23.8,175,160,2.251,0.176,1.629,0.088,0.082,23.3,47,137.69
영산포-1,2019/10,7.8,9.6,2.6,5.2,11.9,3.255,0.075,4,19.7,249,1800,3.106,0.206,2.276,0.042,0.023,28.8,510,130.06
영산포-1,2019/11,8.2,10.7,4.7,7.9,16.5,4.056,0.051,7.1,14.4,354,290,3.891,0.362,2.907,0.031,0.017,49.3,18,48.64
함평,2017/09,6.8,7.4,2.9,6.9,14.8,2.144,0.101,5.2,23.8,167,400,2.06,0.152,1.385,0.066,0.055,28.4,50,231.59 
함평,2017/10,7.2,8.3,3.5,6.4,15.1,2.717,0.085,5.1,18.7,263,200,2.677,0.491,1.635,0.046,0.026,23.8,50,211.69 
함평,2017/11,7.5,11.2,3.3,7.2,13.7,4.118,0.059,5.7,11.8,369,50,3.988,0.689,2.524,0.025,0.01,33.1,2,42.55 
함평,2018/09,7.2,7.1,3.6,7.4,20.4,2.591,0.108,5.2,24.2,183,400,2.52,0.21,1.563,0.074,0.048,27.6,190,109.02 
함평,2018/10,7.7,8.6,3,7.3,17.7,2.558,0.109,6.3,18.4,229,300,2.49,0.187,1.875,0.048,0.03,22.1,33,77.04 
함평,2018/11,7.9,9.4,3.6,7.5,11.5,3.592,0.099,6.9,12.7,332,400,3.531,1.02,2.158,0.044,0.037,30.5,12,1.84 
함평,2019/09,7.3,6.8,2.8,6.9,17.7,2.511,0.128,5.1,23.4,173,330,2.402,0.243,1.674,0.093,0.086,14.1,97,137.69 
함평,2019/10,7.7,8.6,2.4,5.3,11.2,3.072,0.082,3.8,19.8,230,2100,3.032,0.173,2.325,0.052,0.034,12,410,130.06 
함평,2019/11,8.1,10.4,3.5,7,12.3,3.692,0.047,6.3,14.4,337,450,3.578,0.259,2.738,0.028,0.017,34.8,10,48.64 
무안1,2017/09,7.9,8.2,2,7.2,20.7,2.316,0.117,4.3,24.8,172,1310,2.07,0.253,1.193,0.074,0.066,34.8,1140,202.50 
무안1,2017/10,8,10.7,4.1,8.6,22.8,2.655,0.083,4.3,19.8,251,185,2.449,0.394,1.372,0.032,0.017,68.4,105,204.98 
무안1,2017/11,7.9,11.4,1.7,6.7,14.7,3.134,0.053,4.2,12.5,314,112,3.001,0.235,1.866,0.025,0.009,36.3,41,66.12 
무안1,2018/09,7.1,7.9,2,6.2,18.1,2.265,0.144,3.5,25.2,139,1927,2.182,0.174,1.324,0.094,0.079,35.2,890,115.20 
무안1,2018/10,7.7,11.6,2.5,6.7,22.4,2.511,0.125,4.6,18.6,204,498,2.399,0.19,1.37,0.071,0.052,43,150,49.27 
무안1,2018/11,7.5,10.2,2.9,6.5,15.1,4.107,0.086,3.8,13.7,338,438,3.841,0.952,2.033,0.062,0.034,25.9,143,1.56 
무안1,2019/09,7.4,8.5,2.5,7.7,18.3,2.52,0.136,4.5,23.9,166,802,2.405,0.331,1.36,0.099,0.078,23.6,234,147.98 
무안1,2019/10,7.7,11.2,1.2,6.1,18.4,2.843,0.093,3.6,19.8,175,455,2.777,0.34,2.15,0.065,0.052,10.1,177,154.03 
무안1,2019/11,8,11.8,2.7,7.9,44.5,3.223,0.081,3.8,14,282,162,2.999,0.142,2.278,0.034,0.025,30.2,26,48.18 
