site,yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
담양,2017/01,8,13.4,2.2,3.6,11,4.469,0.285,2.2,6.3,359,956,4.37,0.416,3.104,0.257,0.257,10.6,221,51.16 
담양,2017/02,7.6,12.8,2.8,4.6,8.1,4.373,0.335,2.7,5.8,292,952,4.142,0.52,2.799,0.306,0.303,13.5,126,43.52 
담양,2017/12,7.7,12.9,2.3,5.3,6,3.758,0.22,3.2,6.3,363,2518,3.659,0.117,2.507,0.2,0.192,24.2,339,45.34 
담양,2018/01,7.4,13.7,2.2,4.9,3.8,4.328,0.3,2.6,7.3,338,2250,3.923,0.13,3.071,0.269,0.244,30.1,445,13.64 
담양,2018/02,7.6,11.5,2.3,6.2,6.2,3.798,0.257,3.3,5.3,378,5235,3.751,0.144,2.844,0.228,0.246,33.5,279,43.76 
담양,2018/12,7.5,9.5,1.4,4,3.1,2.711,0.156,2.3,8.7,282,47175,2.626,0.152,1.845,0.131,0.121,11.1,326,30.54 
담양,2019/01,7.8,13.9,2.3,4.8,4.3,2.709,0.226,2.8,6.1,318,33410,2.646,0.109,1.948,0.192,0.185,14.4,98,39.20 
담양,2019/02,7.3,12.5,2.3,6.2,7.1,2.626,0.19,2.6,8.5,284,4610,2.54,0.123,1.751,0.161,0.139,16.7,143,24.71 
담양,2019/12,7.9,15.3,1.9,4.5,5.9,2.107,0.08,3.3,8.6,281,160075,1.9,0.053,1.443,0.059,0.045,13.6,966,32.72 
우치,2017/01,7.4,11.6,1.5,4.3,4.2,2.898,0.079,3.3,3.8,327,2800,2.833,0.224,2.256,0.048,0.029,7.3,180,51.16 
우치,2017/02,7.8,12.5,1.8,4.5,5.6,2.929,0.086,3.5,4.8,307,1240,2.852,0.222,2.453,0.057,0.041,8.5,200,43.52 
우치,2017/12,7.4,12.7,3.3,5.9,7.5,2.72,0.067,5,4.2,363,2075,2.606,0.269,2.049,0.018,0.005,49.1,558,45.34 
우치,2018/01,8,12.1,2.9,5.6,6.7,2.627,0.072,4.5,3.3,328,7000,2.487,0.246,1.844,0.027,0.012,34.1,574,13.64 
