yyyymm,pH,DO,BOD,COD,SS,T.N,T.P,TOC ,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
2015/01,7.5 ,15.4 ,2.6 ,5.3 ,7.9 ,5.348 ,0.072 ,3.3 ,5.6 ,362 ,15211 ,4.905 ,1.941 ,2.707 ,0.039 ,0.029 ,21.6 ,2678 ,13.40 
2015/02,7.6 ,13.1 ,4.0 ,6.6 ,9.9 ,5.961 ,0.094 ,4.0 ,6.1 ,365 ,14620 ,5.514 ,2.412 ,2.460 ,0.047 ,0.035 ,44.3 ,1148 ,10.94 
2015/03,8.0 ,12.3 ,5.2 ,8.6 ,14.4 ,5.947 ,0.100 ,4.9 ,10.1 ,381 ,11280 ,5.337 ,2.582 ,2.130 ,0.039 ,0.017 ,71.5 ,589 ,91.28 
2015/04,7.7 ,9.5 ,5.2 ,8.6 ,13.5 ,4.896 ,0.123 ,5.0 ,15.9 ,321 ,47586 ,4.417 ,1.948 ,1.672 ,0.061 ,0.042 ,47.1 ,3552 ,61.29 
2015/05,7.6 ,8.7 ,4.7 ,8.5 ,15.0 ,3.870 ,0.095 ,4.8 ,21.0 ,265 ,14926 ,3.540 ,1.364 ,1.438 ,0.047 ,0.030 ,34.2 ,882 ,14.61 
2015/06,7.6 ,8.6 ,4.7 ,9.4 ,16.4 ,3.933 ,0.094 ,5.9 ,24.4 ,291 ,41575 ,3.602 ,1.352 ,1.385 ,0.047 ,0.027 ,32.7 ,2152 ,16.54 
2015/07,7.6 ,7.5 ,3.9 ,8.0 ,14.0 ,3.131 ,0.128 ,5.1 ,25.5 ,219 ,62364 ,2.770 ,0.905 ,1.437 ,0.075 ,0.060 ,26.1 ,9681 ,40.37 
2015/08,7.6 ,7.4 ,4.5 ,8.6 ,15.3 ,2.954 ,0.136 ,4.6 ,27.5 ,245 ,33408 ,2.629 ,0.817 ,1.129 ,0.080 ,0.058 ,46.5 ,5912 ,78.35 
2015/09,7.6 ,8.5 ,3.1 ,6.9 ,10.2 ,2.731 ,0.093 ,4.2 ,24.3 ,256 ,9967 ,2.444 ,0.720 ,1.374 ,0.049 ,0.037 ,33.3 ,2434 ,25.72 
2015/10,7.5 ,9.5 ,3.7 ,7.3 ,12.1 ,3.363 ,0.089 ,4.5 ,19.9 ,271 ,35645 ,3.028 ,0.882 ,1.866 ,0.052 ,0.036 ,30.7 ,4826 ,29.07 
2015/11,7.3 ,8.9 ,3.4 ,7.0 ,9.4 ,3.904 ,0.112 ,4.2 ,15.2 ,330 ,14012 ,3.523 ,1.249 ,2.184 ,0.073 ,0.059 ,22.5 ,2530 ,87.31 
2015/12,7.1 ,10.8 ,2.3 ,5.4 ,6.2 ,4.334 ,0.108 ,2.8 ,9.2 ,334 ,15905 ,3.986 ,1.256 ,2.998 ,0.076 ,0.062 ,10.7 ,2208 ,50.86 
2016/01,7.9 ,14.4 ,3.3 ,6.1 ,9.1 ,5.133 ,0.077 ,4.2 ,5.4 ,373 ,3052 ,4.625 ,1.427 ,3.661 ,0.036 ,0.024 ,53.3 ,439 ,42.64 
2016/02,7.5 ,13.4 ,3.2 ,6.5 ,11.0 ,4.736 ,0.107 ,4.1 ,6.0 ,345 ,9273 ,4.343 ,1.415 ,2.773 ,0.062 ,0.048 ,30.4 ,2308 ,23.81 
2016/03,7.6 ,11.7 ,4.0 ,7.3 ,16.3 ,4.446 ,0.119 ,4.5 ,11.0 ,293 ,11144 ,3.975 ,1.353 ,2.465 ,0.057 ,0.039 ,36.5 ,6830 ,35.45 
2016/04,7.7 ,10.4 ,4.4 ,7.8 ,12.7 ,3.904 ,0.116 ,4.7 ,17.0 ,262 ,7958 ,3.389 ,1.030 ,2.123 ,0.057 ,0.033 ,36.4 ,1585 ,138.09 
2016/05,7.5 ,9.9 ,3.9 ,7.2 ,12.9 ,3.178 ,0.106 ,4.6 ,20.7 ,242 ,8300 ,2.784 ,0.837 ,1.675 ,0.057 ,0.039 ,43.0 ,1161 ,54.20 
2016/06,7.4 ,8.1 ,4.5 ,8.8 ,13.5 ,3.772 ,0.123 ,5.9 ,24.3 ,274 ,5919 ,3.304 ,1.139 ,1.556 ,0.063 ,0.047 ,40.8 ,849 ,95.84 
2016/07,7.5 ,9.1 ,3.4 ,7.2 ,14.8 ,2.908 ,0.125 ,4.6 ,26.9 ,212 ,12997 ,2.566 ,0.718 ,1.482 ,0.077 ,0.067 ,32.6 ,3079 ,159.70 
2016/08,7.7 ,7.6 ,4.8 ,9.9 ,15.3 ,2.758 ,0.136 ,5.9 ,29.3 ,278 ,4882 ,2.399 ,0.762 ,1.064 ,0.083 ,0.066 ,53.6 ,2318 ,127.11 
2016/09,7.5 ,8.7 ,3.2 ,7.4 ,9.6 ,2.771 ,0.130 ,4.8 ,24.4 ,227 ,13666 ,2.477 ,0.782 ,1.539 ,0.087 ,0.074 ,24.7 ,3399 ,63.43 
