site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
영산포-1,15-Jan,1,7.4,14.3,4,5.7,15.9,5.134,0.099,4.3,4.5,383,53,5.026,1.457,2.981,0.034,0.017,51.4,40,12.72
영산포-1,15-Feb,2,7.3,13.9,4.6,6.6,14.3,5.714,0.096,4.8,4.4,356,237,5.406,1.809,3.011,0.021,0.007,73.4,2,11.25
영산포-1,15-Mar,3,7.7,13.2,5.6,8.3,20.5,6.029,0.103,5.8,9.1,377,42,5.669,2.214,2.65,0.03,0.006,87.5,8,98.24
영산포-1,15-Apr,4,7.5,8.9,5.5,7.5,16.6,4.748,0.11,5.6,15.1,319,700,4.515,1.872,1.744,0.051,0.03,42.1,55,65.78
영산포-1,15-May,5,7.2,8.1,3.6,6.5,21.2,3.242,0.109,5,20.4,233,187,3.068,0.854,1.45,0.046,0.03,24.9,24,24.87
영산포-1,15-Jun,6,7,6.7,5.5,8.2,25.6,3.725,0.103,6.7,24.1,278,48,3.616,1.261,1.36,0.037,0.016,44.6,16,24.22
영산포-1,15-Jul,7,7.4,6.9,3.9,7.5,21.9,2.928,0.139,5.4,25.8,201,640,2.738,0.497,1.415,0.058,0.044,31.4,12,42.91
영산포-1,15-Aug,8,7.3,5.3,4.2,8.2,21.6,3.431,0.19,5.8,27.7,285,1060,3.207,0.729,1.054,0.104,0.068,28.5,680,115.96
영산포-1,15-Sep,9,7.3,7.1,3.5,6.7,16.7,2.514,0.135,4.9,25,214,540,2.329,0.347,1.131,0.055,0.034,25.3,73,43.94
영산포-1,15-Oct,10,7.3,8.5,4,6.5,17.6,2.841,0.117,5.1,19.7,217,480,2.707,0.409,1.379,0.051,0.031,38.9,70,23.03
영산포-1,15-Nov,11,7,8.8,4.3,6.5,13.1,3.945,0.098,5.2,15.4,347,95,3.791,0.673,1.895,0.043,0.016,32.3,2,95.57
영산포-1,15-Dec,12,6.8,9.5,2.9,5.5,9.5,4.364,0.129,2.8,9.6,313,460,4.287,0.861,2.484,0.078,0.062,18.1,70,63.28
영산포-1,16-Jan,1,8.4,14.5,4.7,8.1,15.9,5.226,0.104,7.5,3.6,369,60,4.933,0.3,4.193,0.03,0.007,133,4,44.95
영산포-1,16-Feb,2,7.3,14.2,4.1,6.5,15,5.067,0.139,5.6,5.3,358,940,4.911,1.062,3.186,0.06,0.041,51.6,100,24.56
영산포-1,16-Mar,3,7.5,13.3,5,7.7,19.6,4.042,0.118,5.8,10.3,273,6000,3.828,0.678,2.562,0.041,0.019,53.1,540,35.73
영산포-1,16-Apr,4,7.2,9.5,4.5,6.3,12.8,3.852,0.096,5.4,16.4,294,40,3.765,0.735,2.619,0.058,0.024,27.8,1,150.69
영산포-1,16-May,5,7.3,9.3,4.1,6.5,22,2.573,0.097,5.5,19.9,202,3900,2.4,0.259,1.71,0.058,0.026,41.9,750,59.36
영산포-1,16-Jun,6,7.1,6.7,4.9,8.6,22.8,3.751,0.135,7.3,24.4,289,200,3.458,0.985,1.567,0.056,0.035,49.2,14,104.09
영산포-1,16-Jul,7,6.9,6.9,3,6.9,20.9,2.459,0.138,5.6,26.6,185,15000,2.342,0.323,1.433,0.079,0.067,28.7,2400,162.57
영산포-1,16-Aug,8,7.2,5.6,5.1,11.3,23.2,2.578,0.181,7.9,29.5,280,100,2.254,0.576,0.989,0.097,0.074,46.5,30,125.92
영산포-1,16-Sep,9,6.9,7.3,3.2,7.3,11.6,2.502,0.135,5.5,23.7,190,540,2.437,0.444,1.599,0.089,0.073,20.7,95,71.35
영산포-1,16-Oct,10,7.1,8.4,3.3,6.4,27.5,3.037,0.196,4.8,19.8,182,9000,2.517,0.502,1.553,0.117,0.102,15.8,600,88.43
영산포-1,16-Nov,11,7.4,10,3.4,5.8,11.6,4.027,0.102,4.7,13.2,302,700,3.897,0.538,2.606,0.056,0.034,23.9,90,116.34
영산포-1,16-Dec,12,7,11.2,3.4,6.1,7.7,4.594,0.091,5,8.1,350,200,4.44,0.843,2.964,0.046,0.029,38,20,62.92
영산포-1,17-Jan,1,7.3,13.1,3.4,6.7,6.9,4.325,0.094,5,5.4,332,65,4.135,0.724,2.804,0.041,0.016,42.5,20,60.69
영산포-1,17-Feb,2,8,13.9,6.5,11.5,23.6,5.665,0.111,7.6,5,403,60,5.032,0.809,3.73,0.024,0.008,132.1,1,43.47
영산포-1,17-Mar,3,7.7,11.7,5,8.9,12,5.857,0.085,6.6,9.2,398,40,5.556,1.943,2.891,0.035,0.017,35.6,1,55.09
영산포-1,17-Apr,4,7.2,10.9,6,9.8,11,5.697,0.134,7.9,15.6,359,120,5.092,2.073,2.318,0.089,0.057,80.9,5,187.58
영산포-1,17-May,5,7.5,10.5,4.3,10.1,12.1,4.327,0.066,7.5,21.2,373,110,4.262,1.112,2.041,0.032,0.012,24,22,110.17
영산포-1,17-Jun,6,7.4,6.8,5.2,14.2,20.1,3.892,0.092,10.2,24,386,300,3.677,1.182,1.702,0.032,0.005,56.1,100,122.55
