site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
함평,15-Jan,1,7.6,14.7,3.9,5.6,15.1,4.808,0.085,4.2,4.5,373,67,4.622,1.085,3.006,0.026,0.013,55,20,12.72
함평,15-Feb,2,8.1,13.9,4.5,6.9,17,5.078,0.081,4.5,4.1,345,80,4.809,1.292,3.062,0.019,0.004,80.5,2,11.25
함평,15-Mar,3,8.2,13.4,5.5,8.4,19.5,5.719,0.096,5.8,9,361,133,5.368,1.868,2.73,0.03,0.008,76.4,10,98.24
함평,15-Apr,4,7.7,9.7,5.3,7.6,17.8,4.621,0.103,5.6,15.5,314,1320,4.271,1.609,1.775,0.038,0.02,54.6,195,65.78
함평,15-May,5,7.2,8.5,4.2,6.5,20,3.145,0.1,5.1,20.2,237,193,3.021,0.795,1.503,0.042,0.027,22.2,93,24.87
함평,15-Jun,6,7.2,6.8,4.5,7.9,19.6,3.573,0.085,6.7,24.1,279,65,3.413,1.104,1.336,0.032,0.012,35.9,26,24.22
함평,15-Jul,7,7.3,6.8,4,7.3,19.2,2.907,0.129,5.5,25.9,201,300,2.719,0.451,1.526,0.054,0.04,31.1,4,42.91
함평,15-Aug,8,7.3,4.6,5,7.8,19.4,2.893,0.183,6,27.7,274,4800,2.759,0.514,0.902,0.082,0.054,36,1540,115.96
함평,15-Sep,9,7.5,6.8,3.6,6.7,18.3,2.433,0.121,4.9,25,219,1080,2.182,0.261,1.047,0.041,0.02,24.9,205,43.94
함평,15-Oct,10,7.1,7.7,4.4,6.2,19.9,2.975,0.11,5.1,19.7,226,560,2.807,0.498,1.527,0.043,0.025,18,52,23.03
함평,15-Nov,11,7.1,8.5,4.1,6.2,14.6,3.721,0.1,5.2,15.5,330,400,3.564,0.587,1.857,0.041,0.018,26,16,95.57
함평,15-Dec,12,6.9,9.5,3.4,5.3,9.8,4.374,0.116,2.8,9.6,309,180,4.328,0.838,2.436,0.071,0.051,15.6,66,63.28
