site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
堡林2-1,Jan-15,1,7.5,15.4,2.2,6.4,3.2,8.761,0.067,3.4,7.3,412,53500,8.394,4.415,2.749,0.045,0.034,4.7,11250,12.9
堡林2-1,Feb-15,2,7.5,9.7,3.7,8.4,5.6,10.932,0.147,4.4,8.5,468,100500,10.633,6.85,2.002,0.094,0.081,7.3,6250,8.6
堡林2-1,Mar-15,3,7.5,10.7,5.5,10.1,12.2,10.242,0.114,5.2,12,483,84800,9.804,6.249,2.08,0.038,0.014,63.3,3680,101.7
堡林2-1,Apr-15,4,7.3,8.1,6.7,11.6,13.9,8.951,0.182,5.4,17.5,418,212500,8.432,5.049,1.764,0.11,0.082,46.2,20800,62.5
堡林2-1,May-15,5,8,10.8,8.1,12.7,12.5,7.332,0.084,5.7,23.8,376,17750,6.811,3.186,1.943,0.035,0.012,59.5,1575,4.18
堡林2-1,Jun-15,6,7.8,10.5,7.6,13,15.7,6.937,0.151,6.5,25.4,333,124000,6.556,3.493,1.609,0.081,0.057,50.2,14675,12.87
堡林2-1,Jul-15,7,7.6,6.6,6.6,9.6,11.2,5.811,0.238,5.5,25.8,284,274500,5.543,2.853,1.609,0.171,0.154,26.9,67250,39.98
堡林2-1,Aug-15,8,7.5,7.8,5.8,10.1,11.6,4.643,0.152,4.5,28,285,44000,4.451,1.874,1.795,0.091,0.055,66.7,14250,49.38
堡林2-1,Sep-15,9,7.8,9.9,5.4,9.9,10.3,4.66,0.116,4.5,25.5,326,38500,4.559,1.573,2.33,0.066,0.053,98,10000,6.24
堡林2-1,Oct-15,10,7.4,10.6,5.3,9.8,9.5,6.932,0.077,4.7,21.1,385,17250,6.654,1.882,3.881,0.05,0.03,59.8,4900,24.5
堡林2-1,Nov-15,11,7.4,9,3.9,8.6,7.6,5.911,0.176,4.1,16.1,377,31900,5.685,2.275,3.119,0.125,0.118,25,10150,95.5
堡林2-1,Dec-15,12,7.2,10.7,2,6.3,4.7,6.597,0.146,3.4,10.9,414,77500,6.34,1.961,4.243,0.112,0.102,2.9,19000,47
堡林2-1,Jan-16,1,7.3,12.6,2.3,6.3,3.9,9.137,0.098,3.5,7.4,467,6250,9.034,3.414,4.979,0.063,0.056,6.7,2100,47.2
堡林2-1,Feb-16,2,7.5,12.8,3.1,7.4,6.7,6.839,0.132,3.6,7.3,394,36250,6.685,2.485,3.115,0.085,0.07,8.2,11650,23.9
堡林2-1,Mar-16,3,7.2,10.6,4.7,9.2,16.9,7.869,0.196,4.5,12.3,382,45920,7.537,3.352,2.982,0.112,0.097,33.1,8120,36.5
堡林2-1,Apr-16,4,8,11,7.4,11.3,17,6.931,0.175,5,19.1,297,21250,6.191,1.887,2.696,0.075,0.051,80,4200,145.5
堡林2-1,May-16,5,7.5,9.8,5.3,8.1,8.9,5.656,0.149,4.5,21.9,329,28750,5.357,2.084,1.863,0.091,0.074,41.8,3570,48.6
堡林2-1,Jun-16,6,7.6,9.3,9.5,11.3,14.9,6.225,0.201,5.6,25.8,317,20640,5.649,2.346,1.886,0.081,0.048,120.1,2600,96.1
堡林2-1,Jul-16,7,7.8,10.6,4.8,8.4,11.1,5.307,0.143,4.2,27.8,272,52000,4.822,1.774,1.793,0.102,0.085,35.5,10150,164.3
堡林2-1,Aug-16,8,8.3,9.4,8.6,11.8,15.5,4.636,0.15,5.4,29.9,322,8300,4.448,1.473,1.67,0.096,0.071,88.6,7012,148.9
堡林2-1,Sep-16,9,7.6,8.2,4.5,8,9.6,4.028,0.196,4.3,25.2,247,82750,3.808,1.563,1.7,0.143,0.127,16.4,21000,66.6
堡林2-1,Oct-16,10,7,8.1,4,7.1,8.5,5.482,0.357,4,20,269,208200,5.117,2.383,1.918,0.268,0.249,3,93500,90.9
堡林2-1,Nov-16,11,7.5,10.1,4.6,6.9,8.6,8.822,0.204,4.5,14.5,342,153200,8.36,3.849,2.95,0.136,0.106,35.5,57600,121.9
堡林2-1,Dec-16,12,7.5,12,4.5,7.4,8.2,9.259,0.217,4.6,11,493,86500,8.789,3.439,3.463,0.113,0.091,25.5,32750,59.2
堡林2-1,Jan-17,1,7.5,12.8,3.2,7.2,5.7,9.09,0.146,4,7.8,465,10600,8.525,3.477,3.42,0.087,0.07,13.4,4825,49.9
堡林2-1,Feb-17,2,7.4,11.3,4.6,7.9,10.3,11.508,0.247,5.5,8.8,456,162800,11.059,6.22,2.56,0.146,0.122,30.5,62000,45.2
堡林2-1,Mar-17,3,7.6,10.9,6.8,12,18.9,11.999,0.269,7.3,12.3,453,232500,11.116,7.117,1.816,0.181,0.125,70.6,32050,55.2
堡林2-1,Apr-17,4,7.9,12.3,7.8,12.2,18.2,9.085,0.207,6.8,18.7,404,235500,8.754,4.256,2.251,0.119,0.092,117.1,53500,185
堡林2-1,May-17,5,8.3,14.2,7.6,14.3,18.8,10.442,0.203,8.3,24.3,477,7600,9.334,4.971,2.186,0.107,0.062,116.5,923,104.5
堡林2-1,Jun-17,6,8.2,13,8.2,15.1,21,8.115,0.184,7.2,25.5,348,118975,7.463,3.81,1.792,0.098,0.066,105.3,16055,116.1
堡林2-1,Jul-17,7,7.5,6.1,6.4,11,13.5,5.742,0.516,6.1,27.9,283,101000,5.491,2.923,1.238,0.403,0.364,19,47900,301.4
堡林2-1,Aug-17,8,7.6,7.4,5.3,8,25.8,4.591,0.216,4.8,28.1,211,392500,4.24,2.064,1.127,0.156,0.134,45.9,294500,81
堡林2-1,Sep-17,9,7.6,9.5,3.6,8.4,19.8,5.081,0.101,4.6,24.7,330,41375,4.773,1.734,1.963,0.055,0.038,70.3,35325,251.3
堡林2-1,Oct-17,10,7.6,10.5,4.7,8.1,10.1,7.089,0.113,4.7,20.7,410,9700,6.858,2.235,2.601,0.056,0.021,70.4,4150,216.7
堡林2-1,Nov-17,11,7.3,10.8,5.3,9.2,10.9,9.258,0.1,5.4,13.9,518,23350,9.001,3.908,3.606,0.036,0.01,68.4,7425,31.5
堡林2-1,Dec-17,12,7.4,11.5,8.4,10.7,19.2,10.065,0.196,6.1,8.4,539,335750,9.53,5.974,2.222,0.059,0.032,57.5,207550,44.9
堡林2-1,Jan-18,1,7.3,12.3,4.5,10.5,14.7,10.623,0.113,5.7,8.5,489,101000,10.071,5.629,2.585,0.045,0.016,66.1,22200,11.7
堡林2-1,Feb-18,2,7.6,12.4,4.1,11.2,11.3,13.092,0.161,6,8.5,465,123500,12.628,9.924,1.76,0.084,0.057,41,54800,41.9
堡林2-1,Mar-18,3,7,9.5,7,11.5,26.9,8.196,0.257,6.1,13.3,329,265250,7.764,5.222,1.448,0.121,0.107,41.1,52210,7.8
堡林2-1,Apr-18,4,7.3,10.3,7.1,10.7,41.7,7.347,0.162,4.8,16.4,336,184000,7.112,4.216,1.451,0.077,0.051,47.5,54200,8.9
堡林2-1,May-18,5,7.4,11.6,6.2,9.2,33.8,5.893,0.132,4.8,21.4,334,107000,5.383,3.525,1.125,0.062,0.043,61.8,39025,28.1
堡林2-1,Jun-18,6,7.3,11.5,4.5,10,26.2,7.381,0.153,5.7,25.7,342,17700,7.129,4.754,0.989,0.074,0.053,52.7,4300,42.1
堡林2-1,Jul-18,7,7.1,9,5.6,9.3,24.9,7.084,0.172,5.2,26.5,320,53250,6.919,4.855,0.977,0.106,0.091,41.7,26506,211.7
堡林2-1,Aug-18,8,7.6,9.9,5.6,10.2,23.1,7.556,0.181,5.2,29.1,351,102000,7.201,5.148,1.004,0.133,0.094,59.4,54650,273.8
堡林2-1,Sep-18,9,7.2,8.6,2.1,5.9,13.1,3.956,0.148,3.4,24.8,253,24667,3.868,1.887,1.241,0.101,0.08,41.4,16133,108.8
堡林2-1,Oct-18,10,7.3,11.3,4.7,7.3,10.3,7.284,0.176,4.3,18.6,397,28586,7.207,3.738,1.873,0.123,0.097,36.2,12540,85.4
堡林2-1,Nov-18,11,7.5,10.4,7.1,8,11.4,8.897,0.233,5.6,14.1,433,62600,8.431,5.302,1.598,0.143,0.093,59.2,24463,2.1
