site,yyyymm,MONTH,pH,DO,BOD,COD,SS,T.N,T.P,TOC,Temp,EC,TC,DTN,NH3.N,NO3.N,DTP,PO4.P,Chl.a,FC,Rain
唱林,Jan-15,1,7.9,17.2,1.7,5.7,3.8,5.856,0.068,2.7,5.4,369,1850,5.712,2.11,2.79,0.05,0.043,11.6,71,12.9
唱林,Feb-15,2,7.4,13.1,3.9,6.8,8.4,6.947,0.098,3.8,6.3,397,1405,6.764,2.936,2.425,0.056,0.044,39,133,8.6
唱林,Mar-15,3,8.4,12.5,6.2,9.8,13.6,6.171,0.119,4.5,10.7,367,1856,5.793,2.744,2.09,0.059,0.039,96.9,185,101.7
唱林,Apr-15,4,7.7,9.6,5.1,8.8,8.5,5.165,0.102,4.7,16.3,311,2035,4.884,2.464,1.622,0.065,0.041,38.5,305,62.5
唱林,May-15,5,8.2,10.4,6.4,10.9,11.6,3.813,0.082,4.6,22,275,2050,3.604,1.226,1.369,0.037,0.017,66.7,83,4.18
唱林,Jun-15,6,8.3,10.5,5.9,10.8,13.6,4.153,0.073,6,25.6,311,7325,3.974,1.602,1.328,0.035,0.011,45.1,186,12.87
唱林,Jul-15,7,7.7,7.8,3.8,8.9,9.2,3.044,0.114,4.9,25.1,205,8750,2.922,0.712,1.514,0.081,0.067,24.4,555,39.98
唱林,Aug-15,8,8,8.9,6,10.6,12.4,2.783,0.117,4.2,28.5,234,6525,2.618,0.842,1.05,0.085,0.069,79.4,427,49.38
唱林,Sep-15,9,8,9.9,4.7,8.3,9.9,2.826,0.086,4.2,24.9,228,1025,2.694,0.54,1.615,0.047,0.038,67.6,218,6.24
唱林,Oct-15,10,7.8,9.8,4.4,9,9.8,3.388,0.064,4.1,20,249,1085,3.25,0.561,2.067,0.039,0.024,59.9,300,24.5
唱林,Nov-15,11,7.5,8.6,3.4,8.5,7.9,4.555,0.123,3.8,14.6,352,2793,4.463,1.242,2.917,0.103,0.092,27.5,913,95.5
唱林,Dec-15,12,7.1,10.6,2.5,5.8,5,4.416,0.139,3.1,7.8,339,8150,4.368,1.055,3.29,0.109,0.109,11.1,1200,47
唱林,Jan-16,1,8.4,15.6,3.6,5.8,7.1,5.413,0.064,3,5.1,353,725,5.301,0.824,4.036,0.035,0.029,44.9,59,47.2
唱林,Feb-16,2,7.7,12.8,3.3,6.8,7.1,4.67,0.124,3.3,6.3,363,2850,4.578,1.267,2.553,0.096,0.082,18.6,330,23.9
唱林,Mar-16,3,7.9,11,4.1,7.7,15.8,4.157,0.109,3.9,11.2,271,1183,3.936,0.852,2.374,0.061,0.049,45.3,143,36.5
唱林,Apr-16,4,7.6,10.3,4.5,7.2,13.3,3.177,0.127,5.2,17.2,220,4715,2.951,0.594,1.993,0.063,0.026,41.5,1487,145.5
