조사년도,조사월,Rain,수온 ,pH,DO ,BOD ,COD ,SS ,EC ,T-N ,T-P ,TOC 
2012,1,15.1,3.8,8.5,15.3,5.6,10.1,17.7,453,7.621,0.355,6.1
2012,2,22.48,3.7,8.3,15,6,10.4,21.8,468,8.21,0.36,7.5
2012,3,117.08,8.6,8.3,14.5,6.7,11.5,24,405,7.462,0.324,7.9
2012,4,119.02,14.9,8.1,12.1,5.2,9.5,49.9,245,4.931,0.217,5.9
2012,5,40.78,22.9,7.6,9.3,5.5,8.8,67,268,3.604,0.187,6.2
2012,6,74.85,25.7,7.5,9.9,9.3,12.9,25.2,332,4.182,0.161,8.7
2012,7,315.37,25.9,6.7,8.1,5.4,8.8,33.4,223,3.494,0.165,6
2012,8,490.67,28.2,7.9,7.4,4.6,10.6,34.3,195,2.154,0.106,5.6
2012,9,265.96,23.6,7.6,9.4,2.1,5.3,18.4,122,2.076,0.073,2.6
2012,10,75.57,18.7,7.8,9.8,3.7,7.9,31.5,258,3.331,0.06,4.4
2012,11,45.26,11.9,7.6,10.6,3.6,6.4,18.1,287,3.731,0.061,3.9
2012,12,75.6,6.5,8.2,13.6,4.6,7.7,12.9,349,4.319,0.065,3.8
2013,1,19.92,3.9,8.1,14.6,3.8,7.5,12.4,360,5.597,0.078,4.8
2013,2,50.8,4.4,7.5,12.4,2.9,6.8,10.1,272,4.792,0.119,4.4
2013,3,75.15,9.7,8.3,13.3,4.8,8.9,20.3,268,4.507,0.094,5.7
2013,4,55.41,13.4,7.8,11.6,4.7,8.1,15.5,266,4.484,0.061,5
2013,5,121.13,20.3,7.9,9.9,4.9,9.8,15.2,347,4.968,0.067,6
2013,6,84.75,24.3,7.5,7.7,3.7,9.6,30.1,226,3.695,0.127,6.2
2013,7,304.09,27.5,7.2,7.4,3.4,7.4,68.1,205,2.922,0.153,5.1
2013,8,279.12,29.7,8.1,8.6,4.3,9.9,26,198,2.421,0.147,5.3
2013,9,90.15,25.3,7.5,7.7,2.7,6.2,22.2,161,2.49,0.151,4.5
2013,10,29.42,21,7.9,8.6,3.7,7.3,27.1,279,3.082,0.097,4.9
2013,11,91.95,12.7,8,10.5,2.9,6.2,24.2,425,4.239,0.1,4.9
2013,12,15.62,6.8,7.9,12.2,3.5,6.4,11.8,480,4.807,0.099,4.9
2014,1,13.01,3.6,8.7,15.6,5.9,8.9,20.2,552,6.304,0.085,5.9
2014,2,12.25,5.4,8.9,14.8,5.8,9.4,21.1,597,7.145,0.086,6.1
2014,3,98.02,9,8.2,12,6,8.1,19.5,541,7.921,0.106,7.2
2014,4,63.41,15.5,7.9,9.5,4.4,7.5,14.4,421,4.859,0.116,5.8
2014,5,24.27,20.7,7.9,7.7,3.9,7.4,29.7,378,4.334,0.133,6
2014,6,27.48,24.2,7.8,7.1,6.2,10.1,31.6,330,3.639,0.133,7.9
2014,7,45.43,25.8,7.8,6.9,5.6,10.7,32.6,277,3.448,0.163,7.1
2014,8,121.99,24.6,7.4,7.6,3.2,6.7,27.7,136,2.257,0.174,4.3
2014,9,48.36,24.2,7.7,9.1,3.3,6.6,22.9,197,2.465,0.12,4.8
2014,10,26.85,19.4,7.4,7.3,3.1,5.9,25.8,224,2.75,0.126,4.4
2014,11,90.24,12.7,7.1,9.7,3,5.7,27.7,299,4.183,0.128,4.2
2014,12,43.85,9.8,7.2,10.7,3.6,6.2,28.5,241,3.744,0.141,4.2
2015,1,41.92,4.5,7.4,14.3,4,5.7,15.9,383,5.134,0.099,4.3
2015,2,25.26,4.4,7.3,13.9,4.6,6.6,14.3,356,5.714,0.096,4.8
2015,3,37,9.1,7.7,13.2,5.6,8.3,20.5,377,6.029,0.103,5.8
2015,4,153.82,15.1,7.5,8.9,5.5,7.5,16.6,319,4.748,0.11,5.6
2015,5,67.53,20.4,7.2,8.1,3.6,6.5,21.2,233,3.242,0.109,5
2015,6,98.94,24.1,7,6.7,5.5,8.2,25.6,278,3.725,0.103,6.7
2015,7,179.48,25.8,7.4,6.9,3.9,7.5,21.9,201,2.928,0.139,5.4
2015,8,145.93,27.7,7.3,5.3,4.2,8.2,21.6,285,3.431,0.19,5.8
2015,9,66.71,25,7.3,7.1,3.5,6.7,16.7,214,2.514,0.135,4.9
2015,10,87.58,19.7,7.3,8.5,4,6.5,17.6,217,2.841,0.117,5.1
2015,11,112.49,15.4,7,8.8,4.3,6.5,13.1,347,3.945,0.098,5.2
2015,12,58,9.6,6.8,9.5,2.9,5.5,9.5,313,4.364,0.129,2.8
2016,1,52.25,3.6,8.4,14.5,4.7,8.1,15.9,369,5.226,0.104,7.5
2016,2,46.2,5.3,7.3,14.2,4.1,6.5,15,358,5.067,0.139,5.6
2016,3,63.29,10.3,7.5,13.3,5,7.7,19.6,273,4.042,0.118,5.8
2016,4,194.09,16.4,7.2,9.5,4.5,6.3,12.8,294,3.852,0.096,5.4
2016,5,111.87,19.9,7.3,9.3,4.1,6.5,22,202,2.573,0.097,5.5
2016,6,122.81,24.4,7.1,6.7,4.9,8.6,22.8,289,3.751,0.135,7.3
2016,7,277.39,26.6,6.9,6.9,3,6.9,20.9,185,2.459,0.138,5.6
2016,8,70.98,29.5,7.2,5.6,5.1,11.3,23.2,280,2.578,0.181,7.9
2016,9,244.67,23.7,6.9,7.3,3.2,7.3,11.6,190,2.502,0.135,5.5
2016,10,211.61,19.8,7.1,8.4,3.3,6.4,27.5,182,3.037,0.196,4.8
2016,11,43.56,13.2,7.4,10,3.4,5.8,11.6,302,4.027,0.102,4.7
2016,12,46.98,8.1,7,11.2,3.4,6.1,7.7,350,4.594,0.091,5
2017,1,11.78,5.4,7.3,13.1,3.4,6.7,6.9,332,4.325,0.094,5
2017,2,39.45,5,8,13.9,6.5,11.5,23.6,403,5.665,0.111,7.6
2017,3,6.95,9.2,7.7,11.7,5,8.9,12,398,5.857,0.085,6.6
2017,4,8.35,15.6,7.2,10.9,6,9.8,11,359,5.697,0.134,7.9
2017,5,31.2,21.2,7.5,10.5,4.3,10.1,12.1,373,4.327,0.066,7.5
2017,6,91.8,24,7.4,6.8,5.2,14.2,20.1,386,3.892,0.092,10.2
2017,7,181.31,27.3,7,5.2,4.3,8.8,17.1,252,3.168,0.135,7.3
2017,8,269.74,27.5,7.3,6.7,4.4,8.6,22.8,220,3.01,0.159,6.3
2017,9,114.74,24,6.9,7.6,3.6,7.7,12.8,180,2.183,0.1,5.8
2017,10,66.5,18.8,7.4,8.8,3.5,7.1,11.8,272,2.886,0.078,5.4
2017,11,1.95,11.7,7.7,10.5,3.3,7.5,12.5,397,4.581,0.073,5.9
2017,12,28.24,6,8.1,10.9,2.6,7.2,7.8,496,5.655,0.071,5.7
2018,1,39.56,4.1,8.3,14.6,7.2,13,20.3,489,6.551,0.159,9.7
2018,2,23.82,4.4,8.5,14.9,5.7,10.4,13.6,483,7.818,0.12,8.2
2018,3,121.73,10.3,7.6,9.1,4,7.9,8.6,415,7.502,0.118,6.6
2018,4,125.89,15.4,7.6,9,4.4,8.2,19.2,274,4.374,0.1,6.1
2018,5,84.73,21.1,7.7,7.5,4.9,8.9,15.7,301,4.07,0.097,6.9
2018,6,218.99,25.7,7.8,5,4.6,12.2,14.4,338,3.717,0.097,9.1
2018,7,84.34,27.5,8,5.9,4.9,9.4,19,233,3.009,0.116,6.7
