조사월,측정지점,Rain ,WT,pH,DO ,BOD ,COD ,SS ,EC ,T-N ,T-P ,TOC 
1,고막원천2-1,29.92 ,3.2 ,7.7 ,13.6 ,2.8 ,5.5 ,20.3 ,287 ,3.543 ,0.083 ,4.1 
1,삼포천2,33.64 ,2.7 ,7.7 ,14.1 ,4.3 ,10.1 ,65.8 ,542 ,4.014 ,0.130 ,7.1 
1,영산포-1,27.65 ,4.1 ,8.1 ,14.6 ,4.9 ,8.6 ,15.6 ,420 ,5.823 ,0.139 ,6.2 
1,영산호2,31.70 ,4.6 ,7.9 ,13.5 ,1.9 ,6.1 ,11.2 ,913 ,3.488 ,0.044 ,3.3 
1,영산호3,31.70 ,4.1 ,8.2 ,15.5 ,2.7 ,7.0 ,13.5 ,551 ,4.205 ,0.056 ,3.5 
1,영암천,31.70 ,3.3 ,7.7 ,14.2 ,3.0 ,6.7 ,19.3 ,723 ,3.061 ,0.068 ,5.0 
2,고막원천2-1,31.03 ,4.2 ,7.9 ,14.2 ,3.2 ,6.2 ,20.5 ,277 ,3.233 ,0.084 ,4.2 
2,삼포천2,79.46 ,4.3 ,7.7 ,13.9 ,4.4 ,9.6 ,48.3 ,550 ,4.160 ,0.128 ,6.9 
2,영산포-1,31.47 ,4.7 ,8.0 ,14.2 ,5.1 ,8.8 ,17.1 ,420 ,6.344 ,0.147 ,6.3 
2,영산호2,33.64 ,3.8 ,7.9 ,13.8 ,2.5 ,7.1 ,14.5 ,929 ,4.065 ,0.053 ,3.9 
2,영산호3,33.64 ,4.3 ,8.1 ,14.9 ,3.4 ,7.9 ,17.2 ,573 ,4.472 ,0.067 ,4.2 
2,영암천,33.64 ,4.2 ,7.6 ,14.0 ,2.9 ,7.0 ,21.2 ,812 ,3.277 ,0.076 ,5.2 
3,고막원천2-1,73.17 ,9.8 ,7.8 ,12.8 ,4.4 ,8.1 ,43.4 ,256 ,3.425 ,0.119 ,5.5 
3,삼포천2,110.15 ,10.1 ,7.5 ,11.7 ,4.1 ,9.7 ,65.4 ,558 ,4.218 ,0.142 ,6.7 
3,영산포-1,74.17 ,9.5 ,7.9 ,12.4 ,5.3 ,8.8 ,17.8 ,382 ,6.189 ,0.135 ,6.5 
3,영산호2,79.46 ,7.1 ,7.9 ,11.9 ,2.5 ,6.0 ,9.6 ,959 ,4.093 ,0.055 ,3.7 
3,영산호3,79.46 ,8.7 ,8.0 ,12.5 ,3.0 ,6.8 ,16.8 ,604 ,4.697 ,0.106 ,3.7 
3,영암천,79.46 ,9.7 ,7.5 ,11.7 ,2.7 ,6.7 ,31.3 ,782 ,3.342 ,0.089 ,4.8 
4,고막원천2-1,99.46 ,15.5 ,7.7 ,10.7 ,4.0 ,7.8 ,48.6 ,229 ,2.956 ,0.117 ,5.3 
4,삼포천2,74.14 ,16.5 ,7.6 ,10.4 ,4.7 ,10.0 ,64.5 ,494 ,3.862 ,0.144 ,6.6 
4,영산포-1,102.86 ,15.2 ,7.6 ,10.2 ,5.0 ,8.1 ,19.9 ,311 ,4.706 ,0.119 ,6.0 
4,영산호2,110.15 ,12.3 ,7.7 ,10.1 ,1.8 ,6.5 ,12.3 ,985 ,4.419 ,0.059 ,4.0 
4,영산호3,110.15 ,15.5 ,8.0 ,11.2 ,2.7 ,7.5 ,18.4 ,421 ,4.369 ,0.071 ,4.3 
4,영암천,110.15 ,15.6 ,7.6 ,10.4 ,2.9 ,7.0 ,46.2 ,670 ,3.277 ,0.104 ,5.0 
5,고막원천2-1,63.88 ,20.7 ,7.4 ,8.9 ,3.9 ,9.1 ,59.9 ,233 ,2.363 ,0.131 ,6.2 
5,삼포천2,93.85 ,21.8 ,7.3 ,8.5 ,5.0 ,11.0 ,77.7 ,518 ,3.398 ,0.167 ,8.0 
5,영산포-1,68.79 ,20.9 ,7.6 ,8.9 ,4.5 ,8.3 ,26.1 ,300 ,3.874 ,0.108 ,6.2 
5,영산호2,74.14 ,17.9 ,7.6 ,8.0 ,2.6 ,6.3 ,18.4 ,778 ,3.915 ,0.074 ,3.8 
5,영산호3,74.14 ,21.0 ,7.9 ,9.5 ,2.3 ,6.8 ,24.2 ,347 ,3.796 ,0.081 ,4.1 
5,영암천,74.14 ,21.5 ,7.5 ,8.9 ,2.6 ,7.5 ,35.3 ,618 ,3.183 ,0.102 ,5.6 
6,고막원천2-1,91.94 ,24.1 ,7.3 ,7.0 ,3.3 ,10.0 ,47.9 ,229 ,2.554 ,0.129 ,7.8 
