조사년도,조사월,측정소명,Rain ,WT,pH,DO ,BOD ,COD ,SS ,EC ,TN ,TP ,TOC 
2013,1,고막원천2-1,18.24,3.3,7.1,13.6,1.8,4.8,11.5,256,3.637,0.042,3.2
2013,2,고막원천2-1,49.11,3.1,7.2,14.4,1.9,5.1,11.8,206,3.658,0.054,3
2013,3,고막원천2-1,73.95,9.8,7.6,12.7,4.1,8.5,70,219,3.356,0.114,5.2
2013,4,고막원천2-1,49.96,13.7,7.6,10.8,3.8,7.2,51.6,227,2.461,0.054,4.4
2013,5,고막원천2-1,106.46,20.5,7.4,9.1,4.1,9.5,81.6,234,2.338,0.048,5.6
2013,6,고막원천2-1,83.96,24.7,7.3,6.8,3.2,8.4,35.9,202,2.667,0.097,6.3
2013,7,고막원천2-1,303.35,27.3,7.4,8,2.9,7.7,81.1,194,2.218,0.16,5.4
2013,8,고막원천2-1,250.33,28.4,7.6,7.4,2.5,8.2,36,171,1.79,0.129,5.2
2013,9,고막원천2-1,112.48,24.8,7.5,8.4,1.7,5.7,34.7,168,1.862,0.096,3.9
2013,10,고막원천2-1,25.86,19.4,8,10.8,4,7.8,39.3,216,1.336,0.104,4.8
2013,11,고막원천2-1,96.7,10.5,7.7,11.8,2.7,5.7,32.8,253,2.323,0.098,4.5
2013,12,고막원천2-1,17.57,5.1,8,14,3.3,6.2,20.6,303,3.673,0.106,5.3
2014,1,고막원천2-1,12.72,3.3,8.3,13.9,3.8,5.8,20.8,282,2.909,0.062,4
2014,2,고막원천2-1,11.25,5.5,8.8,14.7,3.6,6.1,18.6,271,2.344,0.064,3.8
2014,3,고막원천2-1,98.24,10.3,8.5,13.6,6,8.9,46.1,285,2.358,0.121,6.1
2014,4,고막원천2-1,65.78,16.7,8,10.6,4.5,8,61.4,269,2.344,0.121,5.2
2014,5,고막원천2-1,24.87,20.8,7.6,8.5,3.9,8.3,76.8,228,2.435,0.165,6.1
2014,6,고막원천2-1,24.22,23.4,7.6,7.6,4.2,11.3,59,261,2.695,0.16,9.1
2014,7,고막원천2-1,42.91,25.3,7.5,7,2.2,8.3,45.5,234,2.401,0.125,6.6
2014,8,고막원천2-1,115.96,24.7,7.5,8.3,2,5.9,31.2,148,2.609,0.167,4
2014,9,고막원천2-1,43.94,23.5,7.6,8.7,2,5.2,23.5,169,1.698,0.067,4
2014,10,고막원천2-1,23.03,17.6,7.6,10.5,2.9,6.4,45.7,219,1.47,0.098,4.8
2014,11,고막원천2-1,95.57,11.2,7.5,12,2.6,6.4,38.3,220,2.951,0.161,4.6
2014,12,고막원천2-1,63.28,7.7,7.5,12.6,1.5,4.9,16.5,245,3.548,0.09,3.5
2015,1,고막원천2-1,44.95,4.4,7.4,13.6,2.2,4.2,21.2,231,3.189,0.083,3.3
2015,2,고막원천2-1,24.56,3.6,7.6,15.2,3,5,12.3,239,2.844,0.063,3.5
2015,3,고막원천2-1,35.73,10.3,8.1,13.9,4.8,7.4,41.6,257,2.391,0.102,4.7
2015,4,고막원천2-1,150.69,15.1,7.7,10.9,4.3,8,49.4,213,3.446,0.159,5.4
2015,5,고막원천2-1,59.36,20.4,7.5,8.9,4.1,7.7,53,207,2.209,0.145,5.4
2015,6,고막원천2-1,104.09,23.3,7.2,6.1,2.9,8.8,43.8,225,2.698,0.152,6.9
2015,7,고막원천2-1,162.57,26.2,7.2,6.7,2,6.7,25.3,201,2.271,0.151,5.3
2015,8,고막원천2-1,125.92,26.2,7,7.4,2.5,6.7,27.2,188,2.05,0.221,4.8
2015,9,고막원천2-1,71.35,24.1,7.3,7.3,1.8,5.3,23,202,1.425,0.138,4.1
2015,10,고막원천2-1,88.43,18.6,7.6,10.4,3.2,6.2,25.4,213,2.228,0.144,5.3
2015,11,고막원천2-1,116.34,13.7,7.2,9.2,3.1,7.3,21.3,288,3.188,0.184,6.1
2015,12,고막원천2-1,62.92,7.5,7.2,13.3,1.9,5.3,21.2,268,3.596,0.129,2.9
2016,1,고막원천2-1,60.69,1.6,7.7,13.6,1.7,3.9,21.5,342,3.569,0.103,3.6
2016,2,고막원천2-1,43.47,4.1,7.1,14.3,1.9,5.3,26.5,221,3.695,0.127,4.7
2016,3,고막원천2-1,55.09,9.8,7.6,13,3.3,6.1,33.4,238,2.915,0.112,4.7
2016,4,고막원천2-1,187.58,16.8,7.5,11.2,3.9,6.6,34.1,177,2.778,0.123,5.2
2016,5,고막원천2-1,110.17,19.7,7.4,10.3,4.6,9.8,60.8,210,2.524,0.197,6.5
2016,6,고막원천2-1,122.55,24.2,6.8,6.9,2.6,8.2,37,211,2.758,0.15,6.8
2016,7,고막원천2-1,282.17,27.2,7.3,8,2.3,7,42,183,1.924,0.173,5.8
2016,8,고막원천2-1,58.68,28.6,7.3,7.9,1.5,6.6,27.8,185,0.998,0.102,5.1
2016,9,고막원천2-1,231.59,24.1,7.7,9.3,1.9,5.5,24.9,205,2.068,0.108,5.1
2016,10,고막원천2-1,211.69,18.9,7.5,9,2,7.9,84.7,169,2.763,0.22,5.5
2016,11,고막원천2-1,42.55,11.2,7.5,12.3,1.9,5,28.5,229,2.461,0.093,4.1
2016,12,고막원천2-1,45.27,5.7,7.3,12.7,2.1,4.5,20.4,293,2.551,0.059,3.6
2017,1,고막원천2-1,12.51,4.5,7.8,14.6,2.6,5.2,24.1,268,2.895,0.093,4
2017,2,고막원천2-1,38.36,5,8.4,15.3,4.4,8.5,30.2,259,3.263,0.123,5.7
2017,3,고막원천2-1,6.07,9.6,7.9,12.3,5.1,9.1,33.5,268,2.642,0.122,5.5
2017,4,고막원천2-1,7.91,17,7.9,9.3,3.6,7.7,40.2,248,2.148,0.099,5.4
2017,5,고막원천2-1,22.65,21.6,7.3,8.8,3.7,9.8,54.7,299,1.682,0.115,7.1
2017,6,고막원천2-1,37.09,22.6,7.9,7.6,4.3,12.4,70,240,2.577,0.156,9.2
2017,7,고막원천2-1,184.63,27.2,7.4,6.5,2.8,10,60.2,199,3.049,0.147,7.5
2017,8,고막원천2-1,246.91,27.4,7.2,6.7,2.2,7.1,33.9,175,2.251,0.123,5.7
2017,9,고막원천2-1,109.02,23.2,7.6,10.8,3,6.9,30.5,193,1.934,0.091,5.5
2017,10,고막원천2-1,77.04,17.4,7.3,8.8,1.6,5.6,47.8,333,1.992,0.086,4.1
2017,11,고막원천2-1,1.84,9.3,7.5,13.3,2.2,5.7,27.1,271,1.413,0.07,4
