Á¶»ç¿ù,Rain ,WT,pH,DO ,BOD ,COD ,SS ,EC ,T-N ,T-P ,TOC 
1,31.05 ,3.7 ,7.9 ,14.2 ,3.3 ,7.3 ,24.3 ,573 ,4.022 ,0.087 ,4.9 
2,40.48 ,4.2 ,7.9 ,14.1 ,3.6 ,7.8 ,23.1 ,593 ,4.258 ,0.093 ,5.1 
3,82.65 ,9.2 ,7.8 ,12.2 ,3.7 ,7.7 ,30.7 ,590 ,4.327 ,0.108 ,5.2 
4,101.15 ,15.1 ,7.7 ,10.5 ,3.5 ,7.8 ,35.0 ,518 ,3.932 ,0.102 ,5.2 
5,74.82 ,20.6 ,7.5 ,8.8 ,3.5 ,8.2 ,40.3 ,466 ,3.421 ,0.111 ,5.6 
6,107.17 ,24.5 ,7.6 ,8.1 ,4.1 ,10.6 ,36.6 ,476 ,2.952 ,0.102 ,7.5 
7,181.59 ,27.1 ,7.5 ,7.3 ,3.4 ,9.3 ,43.7 ,309 ,2.547 ,0.140 ,6.5 
8,200.10 ,28.7 ,7.6 ,7.3 ,3.3 ,8.8 ,36.7 ,290 ,1.978 ,0.134 ,5.6 
9,130.65 ,24.6 ,7.3 ,7.3 ,2.6 ,7.2 ,34.2 ,224 ,2.009 ,0.115 ,4.7 
10,83.97 ,19.5 ,7.5 ,8.5 ,2.8 ,7.5 ,50.7 ,275 ,2.322 ,0.132 ,4.8 
11,61.77 ,13.0 ,7.5 ,10.0 ,2.9 ,7.0 ,45.0 ,367 ,2.881 ,0.117 ,4.6 
12,46.06 ,6.8 ,7.6 ,12.5 ,2.7 ,6.8 ,33.2 ,457 ,3.532 ,0.097 ,4.4 
