year,month,date,T-P,TOC
2015,1,2015.01.05,0.101,3.3
2015,1,2015.01.12,0.047,2.9
2015,1,2015.01.19,0.05,3.5
2015,1,2015.01.26,0.068,3.9
2015,2,2015.02.02,0.08,4
2015,2,2015.02.09,0.092,4.2
2015,2,2015.02.16,0.165,4.5
2015,2,2015.02.23,0.249,4.9
2015,3,2015.03.02,0.171,5.3
2015,3,2015.03.09,0.089,4.7
2015,3,2015.03.16,0.096,5
2015,3,2015.03.23,0.119,5.5
2015,4,2015.04.06,0.2,4.2
2015,4,2015.04.13,0.097,5.2
2015,4,2015.04.21,0.371,6.6
2015,4,2015.04.28,0.058,5.7
2015,5,2015.05.06,0.139,7.2
2015,5,2015.05.11,0.056,4.6
2015,5,2015.05.19,0.068,4.7
2015,5,2015.05.26,0.073,6.4
2015,6,2015.06.02,0.068,5.8
2015,6,2015.06.09,0.222,7.7
2015,6,2015.06.16,0.183,5.9
2015,6,2015.06.24,0.131,6.5
2015,7,2015.07.01,0.369,5.8
2015,7,2015.07.07,0.099,5.9
2015,7,2015.07.14,0.279,5.1
2015,7,2015.07.21,0.205,5
2015,8,2015.08.04,0.076,4.2
2015,8,2015.08.11,0.235,4.7
2015,8,2015.08.18,0.149,4.9
2015,8,2015.08.24,0.147,4.1
2015,9,2015.09.01,0.093,5.2
2015,9,2015.09.08,0.25,4.1
2015,9,2015.09.15,0.069,4.3
2015,9,2015.09.23,0.053,4.3
2015,10,2015.10.06,0.076,4.4
2015,10,2015.10.13,0.11,4.7
2015,10,2015.10.20,0.061,4.8
2015,10,2015.10.27,0.062,4.7
2015,11,2015.11.03,0.08,4.3
2015,11,2015.11.10,0.335,4.2
2015,11,2015.11.16,0.114,3.8
2015,11,2015.11.23,0.173,4
2015,12,2015.12.01,0.181,3.6
2015,12,2015.12.08,0.112,3.4
2015,12,2015.12.14,0.157,3.4
2015,12,2015.12.21,0.135,3.2
2016,1,2016.01.05,0.087,3.6
2016,1,2016.01.12,0.08,3.3
2016,1,2016.01.18,0.105,3.6
2016,1,2016.01.26,0.119,3.5
2016,2,2016.02.03,0.162,3.6
2016,2,2016.02.11,0.071,3.4
2016,2,2016.02.15,0.207,4
2016,2,2016.02.22,0.086,3.4
2016,3,2016.03.02,0.199,3.2
2016,3,2016.03.07,0.264,4.8
2016,3,2016.03.14,0.169,3.7
2016,3,2016.03.21,0.264,5
2016,4,2016.04.04,0.152,5.2
2016,4,2016.04.11,0.14,6.6
2016,4,2016.04.18,0.29,4.4
2016,4,2016.04.26,0.119,3.9
2016,5,2016.05.02,0.196,4.7
2016,5,2016.05.09,0.1,3.4
