√¯¡§º“∏Ì,≥‚/ø˘/¿œ,BOD,COD,Chl_a,T_N,T_P,TOC,NO3_N,NH3_N,SS
±§ªÍ,2022-01-03,5.5,10.4,72.3,7.471,0.163,6.5,3.193,3.117,12.8
øÏƒ°,2022-01-03,3.1,5.4,44.5,3.002,0.097,3.6,0.039,2.65,8.3
»≤∑Ê∞≠5,2022-01-03,2.9,4.8,10.1,2.163,0.064,3.4,0.364,1.303,4.2
±§¡÷1,2022-01-04,4.1,8.7,99,2.592,0.111,3.8,0.026,1.677,18.8
±§¡÷2,2022-01-04,5.4,9.8,66.8,7.923,0.194,4.7,5.649,2.054,14
±§¡÷3,2022-01-04,8.6,9.8,52.1,10,0.341,5.1,8.017,1.987,14.4
»≤∑Ê∞≠1,2022-01-05,0.7,2.2,33.2,0.392,0.027,1.5,0.01,0.304,1.1
»≤∑Ê∞≠2,2022-01-05,1,2.8,6.9,1.365,0.037,1.7,0.004,1.158,1.2
»≤∑Ê∞≠4,2022-01-05,2.8,5.4,15.4,1.638,0.038,2.1,0.171,1.275,2.8
±§¡÷√µ1,2022-01-06,5.4,8.6,6.4,12.936,0.192,4.8,5.546,3.946,5.2
±§¡÷√µ2,2022-01-10,6.9,11.2,103.7,5.507,0.362,7.8,0.682,3.804,21.8
±§ªÍ,2022-01-10,6.1,10.1,97.2,8.196,0.26,8.4,3.763,2.79,10.1
øÏƒ°,2022-01-10,3,5.5,54.2,2.839,0.074,4.4,0.025,2.374,11.1
»≤∑Ê∞≠5,2022-01-10,4,4.9,19.7,2.111,0.057,4.6,0.358,1.323,6.6
ªÍµø,2022-01-12,7.8,13.2,172.3,3.035,0.176,4.8,0,1.75,3.6
±§¡÷1,2022-01-12,6.9,11.5,158.3,2.517,0.136,4.1,0,1.337,29.6
±§¡÷2,2022-01-12,6.1,10.7,88.2,9.617,0.219,5.4,5.156,1.761,14.8
±§¡÷3,2022-01-12,8.5,10.8,86.5,10.446,0.298,5.9,6.147,1.652,14.8
»≤∑Ê∞≠3,2022-01-17,2.3,4,,2.24,0.043,2.3,,,2.8
±§¡÷√µ2,2022-01-17,6.2,12.5,97.2,5.052,0.104,5.6,0.597,3.536,22.9
±§ªÍ,2022-01-17,6.9,8.7,54.9,9.409,0.118,6.8,5.626,2.527,11.7
øÏƒ°,2022-01-17,3.2,5,44.5,2.841,0.056,3.2,0.017,2.427,12.2
»≤∑Ê∞≠5,2022-01-17,2.6,5.2,15.3,2.253,0.07,3.1,0.398,1.336,6.2
±§¡÷1,2022-01-19,6,10.7,130.1,2.454,0.107,4.3,0,1.446,26.4
±§¡÷2,2022-01-19,6.7,10.5,66.7,10.238,0.498,5.4,6.207,1.882,13.6
±§¡÷3,2022-01-19,7.2,11.4,83.2,10.734,0.281,6.3,6.505,1.9,16
»≤∑Ê∞≠3,2022-01-24,2.4,4.1,,2.156,0.054,2.5,,,5.1
±§¡÷√µ2,2022-01-24,5.7,11.5,98,2.121,0.054,4.5,0.019,1.594,29.8
±§ªÍ,2022-01-24,5.8,10,71.9,10.126,0.229,7.7,5.699,2.659,12.9
øÏƒ°,2022-01-24,2.4,5.3,47.4,2.469,0.101,2.7,0.02,2.07,11.5
»≤∑Ê∞≠5,2022-01-24,2.8,6.9,24.1,2.484,0.077,3.8,0.583,1.283,8.2
±§¡÷1,2022-01-25,5.7,10.5,113.6,2.138,0.098,4.2,0.011,1.524,23.6
±§¡÷2,2022-01-25,9,10.8,59.6,11.647,0.337,6.5,8.712,1.138,12.8
±§¡÷3,2022-01-25,9,10.5,56.3,11.848,0.384,7.2,8.942,1.249,11.6
±§ªÍ,2022-02-03,6.5,10.6,71.1,10.986,0.226,8.1,6.032,2.253,14.8
±§¡÷1,2022-02-03,8.1,11.3,142.7,1.783,0.077,5.5,0.011,1.362,26.4
±§¡÷2,2022-02-03,5.5,10.7,72.5,11.781,0.444,6,7.613,1.726,13.2
±§¡÷3,2022-02-03,6.6,10.7,96.1,10.479,0.094,6.2,6.175,1.989,15.6
øÏƒ°,2022-02-03,3.4,7.9,48.7,3.404,0.131,5.6,0.055,2.206,16.1
»≤∑Ê∞≠5,2022-02-03,3.7,7.3,20.5,2.467,0.085,5,0.579,1.014,8.7
±§¡÷√µ2,2022-02-07,5.8,11.3,68.2,5.652,0.14,6.4,1.466,3.684,18.5
»≤∑Ê∞≠3,2022-02-07,3.5,5.8,,2.168,0.057,3.6,,,7.4
±§ªÍ,2022-02-07,7.7,12.3,85.2,9.731,0.178,7.9,5.831,2.527,15.5
øÏƒ°,2022-02-07,4.3,7,63.1,2.608,0.099,4.7,0.033,2.166,13.7
»≤∑Ê∞≠5,2022-02-07,4.5,6,15.2,2.055,0.087,4.6,0.55,1.013,8
