BOD,Chla,COD,NH3N,NO3N,PO4P,TN,TP
3.1,44.5,5.4,0.039,2.65,0.007,3.002,0.097
5.5,72.3,10.4,3.193,3.117,0.007,7.471,0.163
2.9,10.1,4.8,0.364,1.303,0.02,2.163,0.064
4.1,99,8.7,0.026,1.677,0.006,2.592,0.111
5.4,66.8,9.8,5.649,2.054,0.022,7.923,0.194
8.6,52.1,9.8,8.017,1.987,0.134,10,0.341
0.7,33.2,2.2,0.01,0.304,0.009,0.392,0.027
2.8,15.4,5.4,0.171,1.275,0.012,1.638,0.038
1,6.9,2.8,0.004,1.158,0.004,1.365,0.037
5.4,6.4,8.6,5.546,3.946,0.145,12.936,0.192
6.9,103.7,11.2,0.682,3.804,0.006,5.507,0.362
2.3,0,4,0,0,0,2.24,0.043
3,54.2,5.5,0.025,2.374,0.007,2.839,0.074
6.1,97.2,10.1,3.763,2.79,0.005,8.196,0.26
4,19.7,4.9,0.358,1.323,0.005,2.111,0.057
6.9,158.3,11.5,0,1.337,0,2.517,0.136
6.1,88.2,10.7,5.156,1.761,0,9.617,0.219
8.5,86.5,10.8,6.147,1.652,0.003,10.446,0.298
6.2,97.2,12.5,0.597,3.536,0.002,5.052,0.104
2.4,0,4.1,0,0,0,2.156,0.054
3.2,44.5,5,0.017,2.427,0.01,2.841,0.056
6.9,54.9,8.7,5.626,2.527,0.01,9.409,0.118
2.6,15.3,5.2,0.398,1.336,0.011,2.253,0.07
6,130.1,10.7,0,1.446,0,2.454,0.107
6.7,66.7,10.5,6.207,1.882,0.028,10.238,0.498
7.2,83.2,11.4,6.505,1.9,0.004,10.734,0.281
5.7,98,11.5,0.019,1.594,0.003,2.121,0.054
2.4,47.4,5.3,0.02,2.07,0.011,2.469,0.101
5.8,71.9,10,5.699,2.659,0.067,10.126,0.229
2.8,24.1,6.9,0.583,1.283,0.01,2.484,0.077
5.7,113.6,10.5,0.011,1.524,0.005,2.138,0.098
9,59.6,10.8,8.712,1.138,0.096,11.647,0.337
9,56.3,10.5,8.942,1.249,0.163,11.848,0.384
3.4,48.7,7.9,0.055,2.206,0.006,3.404,0.131
8.1,142.7,11.3,0.011,1.362,0.008,1.783,0.077
5.5,72.5,10.7,7.613,1.726,0.299,11.781,0.444
6.6,96.1,10.7,6.175,1.989,0.012,10.479,0.094
6.5,71.1,10.6,6.032,2.253,0.076,10.986,0.226
3.7,20.5,7.3,0.579,1.014,0.009,2.467,0.085
5.8,68.2,11.3,1.466,3.684,0.004,5.652,0.14
3.5,0,5.8,0,0,0,2.168,0.057
2.6,23.3,5.4,0.11,0.938,0.016,1.148,0.021
4.6,8.7,7.6,5.045,3.099,0.032,16.952,0.088
1.5,2.2,3.2,0.047,0.355,0.011,0.418,0.04
2.3,8.1,3.9,0.061,0.915,0.02,1.079,0.055
4.3,63.1,7,0.033,2.166,0.007,2.608,0.099
7.7,85.2,12.3,5.831,2.527,0.037,9.731,0.178
4.5,15.2,6,0.55,1.013,0.011,2.055,0.087
7.6,175,14.2,0.02,1.382,0.007,2.056,0.094
7.3,73.2,11.2,7.676,1.912,0.017,11.477,0.152
8.4,96.1,11.9,7.741,1.832,0.11,11.524,0.282
7.1,118.1,14.8,1.199,3.297,0.003,6.602,0.159
4.2,0,6.5,0,0,0,2.35,0.067
5.4,89.9,8.4,0.016,1.813,0.011,2.391,0.096
7.8,82.1,11.5,5.816,2.301,0.013,9.575,0.132
4.1,29.1,6.7,0.446,0.856,0.009,2.218,0.104
10.8,211.6,18,0,1.08,0,2.015,0.156
6.7,65.3,12.2,10.557,1.882,0.09,14.136,0.314
8.1,115.7,15.4,9.723,1.817,0.086,13.65,0.311
8,79,11.9,1.475,3.662,0,6.68,0.14
3.7,0,6.6,0,0,0,2.064,0.057
5.3,69.7,9.6,0.029,1.572,0,2.416,0.108
6.3,71.3,10.5,6.57,2.634,0,10.735,0.147
4.5,26.2,8.5,0.368,0.795,0,2.029,0.104
6.9,168,11.9,0.016,1.393,0.008,2.384,0.208
6.2,69.2,9.5,9.62,1.905,0.088,13.74,0.346
8.5,100,9.5,8.043,2.102,0.022,12.543,0.319
8.8,101.8,13.6,1.907,3.7,0.004,7.316,0.187
5,0,7.5,0,0,0,2.463,0.096
5.5,87.7,10.5,0.016,1.568,0.009,2.467,0.133
9.2,84.1,12.5,5.735,2.67,0.012,9.996,0.135
5.5,36.9,8.8,0.378,0.855,0.01,2.093,0.106
17.9,165.3,18.5,0.017,0.877,0.005,2.038,0.114
8,78.5,13.1,9.352,1.567,0.142,13.811,0.349
8.9,106.4,14.8,8.473,1.764,0.019,13.035,0.23
1.4,1.6,3.2,0.041,0.155,0.02,0.426,0.049
2,0.6,4.1,0.033,0.784,0.026,1.012,0.047
5.2,85.5,10.7,0.023,1.31,0.007,2.348,0.149
6.4,83.9,12.2,1.184,3.324,0.004,5.939,0.164
8.4,115,12.8,5.85,2.283,0.01,10.095,0.163
5.2,0,6.7,0,0,0,1.851,0.069
3.2,25.7,8.4,0.09,1.072,0.016,1.425,0.065
6,26.5,9.1,0.363,0.717,0.015,1.915,0.105
5.6,11.6,9,4.785,3.375,0.1,16.104,0.209
8.4,52.2,16.7,0.017,1.436,0.012,2.571,0.249
8.4,55.4,13.1,10.199,1.788,0.06,14.332,0.31
7,17.8,12.6,10.5,1.818,0.056,14.145,0.249
4.6,39.6,8.7,0.341,1.401,0.068,2.733,0.156
